filename,material_name,elastic_modulus,poissons_ratio,yield_strength,density,color
sec_000_r0.125.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_001_r0.125.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_002_r0.127.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_003_r0.130.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_004_r0.135.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_005_r0.141.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_006_r0.149.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_007_r0.158.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_008_r0.169.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_009_r0.183.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_010_r0.198.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_011_r0.215.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_012_r0.233.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_013_r0.254.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_014_r0.277.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_015_r0.302.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_016_r0.329.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_017_r0.358.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_018_r0.390.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_019_r0.423.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_020_r0.459.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_021_r0.496.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_022_r0.536.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_023_r0.579.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_024_r0.623.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_025_r0.670.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_026_r0.719.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_027_r0.771.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_028_r0.824.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_029_r0.881.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_030_r0.939.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_031_r1.000.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
