r/R [-],Cx [mm],Cy [mm],Cz [mm],B [deg],filename
0.125,7.012230765068873,7.254846041485229,0.0,34.1104050834199,sec_000_r0.125.dxf
0.12545815489034723,7.03703329418194,7.280341326306874,0.36652391227770537,34.10975468722422,sec_001_r0.125.dxf
0.1271051270755029,7.131951634351472,7.375465326185221,1.6841016604022263,34.09781546024475,sec_002_r0.127.dxf
0.13013663949837542,7.327374361552447,7.564325799429448,4.109311598700261,34.04776279915645,sec_003_r0.130.dxf
0.13467262403475957,7.7003043252263135,7.8736157311708554,7.738099227807576,33.77374851753645,sec_004_r0.135.dxf
0.14080324729389,8.031574534315904,7.963396793800357,12.642597835111902,32.89195082895582,sec_005_r0.141.dxf
0.1486017973679866,8.385009647193993,7.957198344766632,18.88143789438919,31.6366057636804,sec_006_r0.149.dxf
0.15813050186035998,8.763703250054046,7.881717672449759,26.504401488287893,30.10309299175255,sec_007_r0.158.dxf
0.16944370926893243,9.155967057725071,7.748780634798778,35.55496741514585,28.377720164404554,sec_008_r0.169.dxf
0.1825898367389966,9.557248224372554,7.572458316886565,46.07186939119721,26.52687776283253,sec_009_r0.183.dxf
0.19761265668041117,9.928150392083051,7.327196972336131,58.09012534432887,24.564324607318685,sec_010_r0.198.dxf
0.21455219473083012,10.191359842003633,6.962709226414192,71.64175578466403,22.47695238819408,sec_011_r0.215.dxf
0.2334453832463182,10.367892748416208,6.527242045466175,86.75630659705446,20.32917120527719,sec_012_r0.233.dxf
0.2543265528166787,10.408908038199739,6.043503915705478,103.46124225334289,18.2759984079038,sec_013_r0.254.dxf
0.2772278119488869,10.328146741575823,5.542246494951569,121.78224955910942,16.354878418766862,sec_014_r0.277.dxf
0.3021793469035458,10.107766938825927,5.032098970154653,141.74347752283657,14.602347513842625,sec_015_r0.302.dxf
0.32920966290875675,9.765116536645618,4.527916213407136,163.3677303270053,13.012511645178225,sec_016_r0.329.dxf
0.35834578130771866,9.306720100100362,4.034069018907867,186.67662504617482,11.57085892883938,sec_017_r0.358.dxf
0.3896134029065328,8.771432121757332,3.570925029730334,211.69072232522618,10.287828320327536,sec_018_r0.390.dxf
0.4230370449393872,8.236364780211622,3.1555752780724613,238.42963595150968,9.09936434987255,sec_019_r0.423.dxf
0.45864015712301115,7.718637340675111,2.788825854361747,266.91212569840883,8.001497121353362,sec_020_r0.459.dxf
0.4964452209119589,7.2234773289342975,2.466488113167022,297.15617672956705,6.988865823221953,sec_021_r0.496.dxf
0.5364738350947148,6.756291249082266,2.185341204831701,329.1790680757718,6.060114819887748,sec_022_r0.536.dxf
0.5787467901635985,6.318929462581391,1.9407135908891808,362.99743213087874,5.2093033163453075,sec_023_r0.579.dxf
0.6232841333682749,5.911673784949552,1.7281805696387926,398.62730669461985,4.431581887865412,sec_024_r0.623.dxf
0.6701052259696679,5.53161075310489,1.5427348355676487,436.0841807757343,3.7196542426901207,sec_025_r0.670.dxf
0.7192287939118241,5.175835140762623,1.3800355361288374,475.38303512945924,3.065652446869062,sec_026_r0.719.dxf
0.7706729728985704,4.840862534134306,1.2360814167686398,516.5383783188563,2.460184279507422,sec_027_r0.771.dxf
0.8244553486819375,4.527188638716556,1.10930103308894,559.56427894555,1.9041396380325202,sec_028_r0.824.dxf
0.8805929932276391,4.224425876349593,0.9944608874463173,604.4743945821111,1.3828366394473464,sec_029_r0.881.dxf
0.9391024973102086,3.909113064703154,0.8835722318185392,651.2819978481667,0.8726476740652163,sec_030_r0.939.dxf
1.0,3.5287782625663255,0.7616428675146368,700.0,0.315909961538458,sec_031_r1.000.dxf
