station_idx,name,rR,zL,c,beta_deg,dxf_path,x_cp,y_cp,P,A,xmin,xmax,ymin,ymax,n_vertices
13,,0.2543265528166787,0.1478017746476327,0.14366551054350873,18.2759984079038,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_013_r0.254.dxf,-0.10205993185690687,0.40265272137279595,295.3378784389144,1964.4289806654187,-45.262687774836934,91.58769962813285,-16.7859107736071,30.471038833174795,721
14,,0.2772278119488869,0.1739746422272992,0.1399063178437053,16.354878418766862,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_014_r0.277.dxf,-0.08673265095148253,0.35247565142710613,287.609983327535,1862.970357730794,-44.51099913312673,90.10799020679825,-15.084981075172559,26.676556287513282,721
15,,0.3021793469035458,0.2024906821754808,0.13477230032409068,14.602347513842625,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_015_r0.302.dxf,-0.07375138811642046,0.28989358675900334,277.055815967708,1728.7515144431732,-43.217901582989754,87.52194749238397,-13.446128381588261,23.038855769803423,721
16,,0.32920966290875675,0.23338247189572187,0.1284784251852716,13.012511645178225,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_016_r0.329.dxf,-0.06261283527431516,0.27819977971743093,264.1172914490113,1571.0561267796738,-41.46181387205404,83.99031048182391,-11.904182155149325,19.64696281109363,721
17,,0.35834578130771866,0.2666808929231069,0.12107327217468415,11.57085892883938,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_017_r0.358.dxf,-0.05238952838485744,0.26356658091090246,248.89427674361266,1395.172320234394,-39.270113726218135,79.57147475206453,-10.461803814534788,16.525784546409767,721
18,,0.3896134029065328,0.302415317607466,0.11304079350949504,10.287828320327536,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_018_r0.390.dxf,-0.043391489327049726,0.2471140781994814,232.381648217754,1216.1907230685395,-36.80982517824134,74.60361024271106,-9.164970622885505,14.012646201967387,721
19,,0.4230370449393872,0.34061376564501383,0.10527886114854108,9.09936434987255,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_019_r0.423.dxf,-0.035629837878651927,0.23093470155678109,216.42519055858426,1054.9057221514574,-34.39207759503059,69.71837015391468,-8.042446217897872,12.361984593678526,721
20,,0.45864015712301115,0.38130303671201266,0.09796004302776207,8.001497121353362,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_020_r0.459.dxf,-0.029029663878894496,0.21547626102744433,201.37965730363828,913.3331603813612,-32.083336393093546,65.05092642270843,-7.086237533878824,11.00953288905173,721
21,,0.4964452209119589,0.42450882389938155,0.09110825463432896,6.988865823221953,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_021_r0.496.dxf,-0.02345325476315807,0.20085068651322002,187.29421230035703,790.0357522257115,-29.900028700435065,60.63504840766163,-6.275591589977623,9.88080689839937,721
22,,0.5364738350947148,0.4702558115368169,0.08475776167684776,6.060114819887748,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_022_r0.536.dxf,-0.01878695744369807,0.1871799574204558,174.23929668415727,683.7388382278109,-27.860113433964376,56.507542555492215,-5.593380718135138,8.930629391553826,721
23,,0.5787467901635985,0.5185677601869697,0.07890079680605346,5.2093033163453075,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_023_r0.579.dxf,-0.014899450453182084,0.17448585083883472,162.19894286167334,592.5077968601647,-25.96662337533885,52.67496427582983,-5.019206510791573,8.12201321500937,721
24,,0.6232841333682749,0.5694675809923141,0.07351593483438122,4.431581887865412,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_024_r0.623.dxf,-0.011674580256951117,0.16275090775099899,151.12910637563357,514.392063980674,-24.216781197090338,49.13202673270781,-4.534260356180797,7.426673862814912,721
25,,0.6701052259696679,0.6229774011081919,0.06854588919208243,3.7196542426901207,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_025_r0.670.dxf,-0.008998984761557693,0.15187166833141563,140.91202135510204,447.1920977067498,-22.595026941248406,45.847482017802655,-4.121152803470205,6.8199596447930215,721
26,,0.7192287939118241,0.6791186216135132,0.06393786317683628,3.065652446869062,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_026_r0.719.dxf,-0.006776513452450672,0.14174861490437185,131.43915189613767,389.08772271820203,-21.086413672501827,42.79127468825386,-3.7649007897332427,6.283908159363472,721
27,,0.7706729728985704,0.7379119690269376,0.059635201632836636,2.460184279507422,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_027_r0.771.dxf,-0.004923050238375026,0.13226913193011525,122.594030146052,338.4828549473593,-19.674065804359586,39.92939708691681,-3.4537160837591014,5.802950620129747,721
28,,0.8244553486819375,0.7993775413507856,0.055635766499283465,1.9041396380325202,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_028_r0.824.dxf,-0.0033951293718743614,0.12343726324021725,114.37226082348425,294.60454520598876,-18.358516694982217,37.2630638068673,-3.181565564133973,5.370540023780484,721
29,,0.8805929932276391,0.863534849403016,0.05180169720113971,1.3828366394473464,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_029_r0.881.dxf,-0.002115349854012294,0.11495474275079778,106.49043944535588,255.39904520602187,-17.095297880874583,34.70222494039987,-2.9343353179241505,4.968218612034972,721
30,,0.9391024973102086,0.9304028540688097,0.047836821353227164,0.8726476740652163,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_030_r0.939.dxf,-0.0010081119357145951,0.10616935019414989,98.33971477409557,217.79901914139737,-15.787316195753034,32.04998102793581,-2.6903875476056434,4.562860284016473,721
31,,1.0,1.0,0.043089963807692,0.315909961538458,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_031_r1.000.dxf,2.1219464761301765e-05,0.09563845269565309,88.58144480765475,176.71912400154494,-14.219926600381624,28.87082436884985,-2.410463814400477,4.089896378735108,721
