r_over_R,twist_deg,chord
0.125,34.1104050834199,0.120433447141891
0.13,34.0507026405924,0.12554834579054
0.135,33.7457988118812,0.131732771018152
0.14,33.0154968560843,0.134618580213291
0.144999999999999,32.2219732597818,0.136737003066068
0.149999999999999,31.4091056977596,0.138420141512016
0.154999999999999,30.6012127612953,0.139879983172387
0.16,29.8094523003324,0.141138852145732
0.165,29.0405453675228,0.142263949338318
0.17,28.295716062322,0.143285163313954
0.174999999999999,27.5674039497402,0.144312832940358
0.179999999999999,26.8758442307324,0.145153780398755
0.184999999999999,26.2061452447956,0.145885507233398
0.19,25.5485514529666,0.146538515927352
0.195,24.8963155629521,0.147132877721851
0.2,24.2643171112335,0.147370699780151
0.204999999999999,23.6409359771594,0.14746542983329
0.209999999999999,23.0249520230028,0.147438858513939
0.214999999999999,22.4235593489186,0.147310895018502
0.22,21.8332621497796,0.147123001871294
0.225,21.2590110484581,0.146848439423383
0.23,20.707017672185,0.146490437203424
0.234999999999999,20.1632984296404,0.146101416906338
0.239999999999999,19.6576055848811,0.145512329510366
0.244999999999999,19.1567060466982,0.144908860033738
0.25,18.6826163532195,0.14424923135651
0.255,18.2145438147713,0.143568946532275
0.26,17.7761007743167,0.142786947315897
0.265,17.3414554057835,0.141997937825093
0.27,16.9329152938433,0.14116073959748
0.275,16.524375181903,0.140323541369868
0.28,16.1489032563304,0.139367394993781
0.284999999999999,15.7740032119058,0.138409191528653
0.289999999999999,15.4213727855812,0.137380368679472
0.294999999999999,15.0768957167032,0.136325690645964
0.299999999999999,14.742129960029,0.135252098148278
0.304999999999999,14.4240136734628,0.134146077921025
0.309999999999999,14.1058973868966,0.133040057693771
0.315,13.8122261980198,0.131867444650011
0.32,13.5216816435643,0.130686314095096
0.325,13.2376809144068,0.129497043339303
0.33,12.9704405810979,0.128286923465024
0.335,12.7032002477888,0.127076803590745
0.34,12.4464255258974,0.125824037661132
0.344999999999999,12.198402253583,0.124535610670924
0.349999999999999,11.9503789812685,0.123247183680714
0.354999999999999,11.7204183870858,0.121946532191536
0.359999999999999,11.4972816925223,0.120641262408586
0.364999999999999,11.2741449979587,0.119335992625638
0.369999999999999,11.0659612785762,0.11803197649147
0.375,10.8618390488919,0.116728300870248
0.38,10.6577168192075,0.115424625249025
0.385,10.4641393504365,0.114178276263264
0.39,10.2730611100067,0.112945514342512
0.395,10.0819828695768,0.11171275242176
0.4,9.90054401719275,0.110531336436266
0.405,9.72107390302216,0.109360407289187
0.409999999999999,9.54160378885157,0.108189478142108
0.414999999999999,9.37126505977166,0.107069171765883
0.419999999999999,9.20250750436535,0.105957631134587
0.424999999999999,9.03374994895903,0.10484609050329
0.429999999999999,8.87358165587643,0.103783306040161
0.434999999999999,8.71464713606446,0.102727524979045
0.44,8.55571261625252,0.101671743917932
0.445,8.40492275433176,0.100663501254532
0.45,8.25507419825386,0.099660752765614
0.455,8.10522564217595,0.098658004276696
0.46,7.96309343478845,0.097701379945198
0.465,7.82164682632638,0.096748853753123
0.469999999999999,7.68020021786434,0.095796327561048
0.474999999999999,7.54608481370047,0.094888770046474
0.479999999999999,7.41243404137004,0.093984062524647
0.484999999999999,7.27878326903961,0.093079355002821
0.489999999999999,7.15206439774329,0.092217857896031
0.494999999999999,7.02561634884814,0.091358048976694
0.5,6.89916829995298,0.090498240057358
0.505,6.77932622592344,0.089680206532975
0.51,6.65958747508395,0.088862826412089
0.515,6.53988989556749,0.088045711122297
0.52,6.42638922397581,0.087268456924849
0.525,6.31288855238415,0.086491202727401
0.53,6.19955412189388,0.085715034110275
0.535,6.09186607622566,0.084975737266756
0.54,5.98417803055741,0.084236440423237
0.545,5.87676289865682,0.08349894513002
0.55,5.77446840570852,0.082795252047414
0.555,5.67217391276023,0.082091558964809
0.56,5.57024295614506,0.081390256416387
0.564999999999999,5.47295585070517,0.08071949080188
0.569999999999999,5.37566874526527,0.080048725187374
0.574999999999999,5.27882118992612,0.079380888106783
0.579999999999999,5.18618049147077,0.07874107951041
0.584999999999999,5.09353979301544,0.078101270914036
0.589999999999999,5.00140218166554,0.077464790076964
0.594999999999999,4.91307612390866,0.076853521440296
0.599999999999999,4.82475006615177,0.076242252803627
0.604999999999999,4.73697980463397,0.075634666887173
0.609999999999999,4.65266382075218,0.075049969103425
0.614999999999999,4.56834783687038,0.074465271319678
0.619999999999999,4.48463105601075,0.073884541024647
0.625,4.40404609966419,0.073324547404768
0.63,4.32346114331765,0.072764553784889
0.635,4.243510355766,0.072208734615219
0.64,4.16639839391497,0.071671602168446
0.645,4.08928643206393,0.071134469721674
0.65,4.01284178415043,0.070601371272801
0.655,3.93898819113499,0.070083936081397
0.66,3.86513459811953,0.069566500889993
0.665,3.7919682593687,0.069053636655339
0.67,3.72114488797851,0.068556355594224
0.675,3.6503215165883,0.068059074533109
0.68,3.58020360765614,0.067566502709604
0.685,3.51221569630624,0.067088149452384
0.689999999999999,3.44422778495634,0.066609796195165
0.694999999999999,3.3769582483546,0.06613616602458
0.699999999999999,3.31162312411013,0.065675254003089
0.704999999999999,3.24628799986568,0.065214341981598
0.709999999999999,3.18168104110141,0.064758267059369
0.714999999999999,3.11883282081933,0.064313875185628
0.719999999999999,3.05598460053727,0.063869483311887
0.724999999999999,2.99360484798746,0.063428048643193
0.729999999999999,2.93224477170877,0.062993050686372
0.734999999999999,2.87088469543009,0.062558052729551
0.739999999999999,2.81046712396011,0.062129338698522
0.744999999999999,2.75159912808525,0.061710956092815
0.75,2.69273113221038,0.061292573487109
0.755,2.63509983179022,0.060882475267086
