2025-07-31 13:42:47,610 | INFO     | RawGeometry.Station_2 | Logger initialized for RawGeometry Station_2
2025-07-31 13:42:47,610 | INFO     | RawGeometry.Station_2 | Reading DXF file: C:\Users\Sam Hughes\Desktop\geometry_tools\n_sections\blade\Station_2.dxf
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed ARC entity with 100 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed ARC entity with 100 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed ARC entity with 100 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed ARC entity with 100 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,628 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,635 | DEBUG    | RawGeometry.Station_2 | Parsed ARC entity with 100 points
2025-07-31 13:42:47,635 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,635 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,635 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,636 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,636 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,636 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,636 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,636 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,636 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,637 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,637 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,637 | DEBUG    | RawGeometry.Station_2 | Parsed ARC entity with 100 points
2025-07-31 13:42:47,638 | DEBUG    | RawGeometry.Station_2 | Parsed ARC entity with 100 points
2025-07-31 13:42:47,638 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,638 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,638 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,638 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,638 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,638 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,638 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,638 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,638 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,640 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,640 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,640 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,640 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,640 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,640 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,640 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,640 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-07-31 13:42:47,640 | DEBUG    | RawGeometry.Station_2 | Parsed ARC entity with 100 points
2025-07-31 13:42:47,640 | INFO     | RawGeometry.Station_2 | Extraction complete: 66 entities, 3700 total points.
