station_idx,name,rR,zL,c,beta_deg,dxf_path,X_vert_cp,Y_horiz_cp,P,A,X_vert_min,X_vert_max,Y_horiz_min,Y_horiz_max,n_vertices
0,,0.125,0.0,0.120433447141891,34.1104050834199,n_slicer\blade_output\Blade01_N_NACA_63-415_n20_pr1p5_L0p7m_cp33pc_20250822-234923\sections\sec_000_r0.125.dxf,0.6177620849872554,-0.5415679258529025,247.57896754349667,1380.4653999831055,-23.241158396750887,45.25555119992213,-33.70512697706865,66.79050651146393,722
1,,0.13556519827035482,0.012074512308976822,0.13215732709156428,33.690276795096665,n_slicer\blade_output\Blade01_N_NACA_63-415_n20_pr1p5_L0p7m_cp33pc_20250822-234923\sections\sec_001_r0.136.dxf,0.682239029229347,-0.5893014283454932,271.6801301559417,1662.3167622499905,-25.25264248645316,49.125701163332195,-37.154703187866865,73.64954456825849,722
2,,0.1548828933661931,0.034151878132792,0.13984825779813106,30.619951364268903,n_slicer\blade_output\Blade01_N_NACA_63-415_n20_pr1p5_L0p7m_cp33pc_20250822-234923\sections\sec_002_r0.155.dxf,0.5947503802371834,-0.5888947335006804,287.4906273971027,1861.4244418365568,-24.74918595797782,47.76157273972703,-40.562261654441386,80.56915325750013,722
3,,0.1798983805888801,0.06274100638729142,0.14513786230341064,26.889675531867763,n_slicer\blade_output\Blade01_N_NACA_63-415_n20_pr1p5_L0p7m_cp33pc_20250822-234923\sections\sec_003_r0.180.dxf,0.5021130550271877,-0.5748041558777786,298.3646400008241,2004.9000921764964,-23.13011248787044,44.053081530064055,-43.51831391175485,86.61353383332718,722
4,,0.20952158616283853,0.09659609847181537,0.14744298508446996,23.083282919460515,n_slicer\blade_output\Blade01_N_NACA_63-415_n20_pr1p5_L0p7m_cp33pc_20250822-234923\sections\sec_004_r0.210.dxf,0.4054924657195471,-0.5534535271668304,303.1033561277758,2069.0906644643464,-20.79371569492344,38.84051207310519,-45.50480813375664,90.71141794681854,722
5,,0.24312250764138288,0.13499715159015174,0.14514003202929815,19.342565960559206,n_slicer\blade_output\Blade01_N_NACA_63-415_n20_pr1p5_L0p7m_cp33pc_20250822-234923\sections\sec_005_r0.243.dxf,0.31150482760637743,-0.5217577961168303,298.36910037713847,2004.9600367847256,-17.83939716490741,32.349910344168435,-45.867735362617346,91.54431786920237,722
6,,0.2802760687622282,0.1774583642996893,0.13931463781690875,16.12815648369218,n_slicer\blade_output\Blade01_N_NACA_63-415_n20_pr1p5_L0p7m_cp33pc_20250822-234923\sections\sec_006_r0.280.dxf,0.2339700351450027,-0.4861082967910022,286.39364738742194,1847.2462427908395,-14.992137080090698,26.092137986228895,-44.77161226985955,89.42688461822696,722
7,,0.32067021022814024,0.2236230974035887,0.13052747311013072,13.483154120447471,n_slicer\blade_output\Blade01_N_NACA_63-415_n20_pr1p5_L0p7m_cp33pc_20250822-234923\sections\sec_007_r0.321.dxf,0.18961350565487578,-0.4464354102886432,268.3295861372642,1621.5679520107446,-12.458622729344839,20.565800069277643,-42.42809084840861,84.78904684286401,722
8,,0.3640631469295448,0.2732150250623368,0.11958048423012155,11.314997096167724,n_slicer\blade_output\Blade01_N_NACA_63-415_n20_pr1p5_L0p7m_cp33pc_20250822-234923\sections\sec_008_r0.364.dxf,0.18906001634681857,-0.4021293529935477,245.82550384997663,1360.9805130587831,-10.274818709598788,15.901400005727377,-39.16963022073426,78.30764513605577,722
9,,0.4102603532995801,0.3260118323423772,0.10812997360897753,9.532524049043843,n_slicer\blade_output\Blade01_N_NACA_63-415_n20_pr1p5_L0p7m_cp33pc_20250822-234923\sections\sec_009_r0.410.dxf,0.18218422496030673,-0.3581296328572563,222.28631548738923,1112.8163180821348,-8.495932765608444,12.883218174681133,-35.60386753495789,71.20139883504403,722
