filename,material_name,elastic_modulus,poissons_ratio,yield_strength,density,color
sec_000_r0.125.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_001_r0.136.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_002_r0.155.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_003_r0.180.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_004_r0.210.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_005_r0.243.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_006_r0.280.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_007_r0.321.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_008_r0.364.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_009_r0.410.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_010_r0.459.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_011_r0.510.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_012_r0.564.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_013_r0.620.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_014_r0.678.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_015_r0.739.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_016_r0.801.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_017_r0.866.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_018_r0.932.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_019_r1.000.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
