r/R [-],X_vert [mm],Y_horiz [mm],Cz [mm],B [deg],filename
0.125,7.051297835188716,6.713722240546818,0.0,34.1104050834199,sec_000_r0.125.dxf
0.13556519827035482,7.68349411796062,7.423824708830147,8.452158616283775,33.690276795096665,sec_001_r0.136.dxf
0.1548828933661931,7.698193355014863,8.28006972316681,23.9063146929544,30.619951364268903,sec_002_r0.155.dxf
0.1798983805888801,7.413368727911734,9.094833520124045,43.91870447110399,26.889675531867763,sec_003_r0.180.dxf
0.20952158616283853,6.901145217298973,9.718853599500882,67.61726893027075,23.083282919460515,sec_004_r0.210.dxf
0.24312250764138288,6.154712705849922,9.989877901455882,94.49800611310621,19.342565960559206,sec_005_r0.243.dxf
0.2802760687622282,5.360714536526951,9.905093419758643,124.22085500978251,16.12815648369218,sec_006_r0.280.dxf
0.32067021022814024,4.5889753050521565,9.502230788063587,156.53616818251209,13.483154120447471,sec_007_r0.321.dxf
0.3640631469295448,3.8717575561743267,8.858123819431793,191.25051754363577,11.314997096167724,sec_008_r0.364.dxf
0.4102603532995801,3.2501724770255214,8.114931414317951,228.208282639664,9.532524049043843,sec_009_r0.410.dxf
0.4591009046559264,2.7428730610207723,7.421734217262101,267.28072372474105,7.988510332928526,sec_010_r0.459.dxf
0.5104487834832666,2.3302202908817105,6.789283714428846,308.3590267866132,6.648818959861345,sec_011_r0.510.dxf
0.5641870447110409,1.995719511794544,6.222218077464868,351.34963576883257,5.488723660382848,sec_012_r0.564.dxf
0.6202137332897006,1.7234061141007144,5.717004945660942,396.1709866317604,4.481126150500489,sec_013_r0.620.dxf
0.6784389301140612,1.4994956957573662,5.265291307625842,442.75114409124893,3.6019121503736713,sec_014_r0.678.dxf
0.7387825542569543,1.3122829583070372,4.856966533678322,491.0260434055633,2.8250478043688494,sec_015_r0.739.dxf
0.8011726893027082,1.1548535427703956,4.487623260207314,540.9381514421665,2.1370258240634588,sec_016_r0.801.dxf
0.8655442832125206,1.0192183348424309,4.145666739122121,592.4354265700165,1.5178713207197105,sec_017_r0.866.dxf
0.9318381208872136,0.894703708868059,3.8053949155420304,645.4704967097708,0.9363263683848356,sec_018_r0.932.dxf
1.0,0.7605261574667609,3.3995125634126833,700.0,0.315909961538458,sec_019_r1.000.dxf
