# Metadata
label,sec_000_r0.125
r,0.0
r_over_R,0.125
B_r,34.1104050834199
Cx,0.006323814855423009
Cy,0.006951011079709684
hs,[40.0]
dxf_path,C:\Users\samea\Desktop\geometry_tools\n_sections\blade\sec_000_r0.125.dxf
material_name,Al_7075_T6

# Convergence Results
run_label,mesh_h,xmin_touch_x_mm,xmin_touch_y_mm,xmax_touch_x_mm,xmax_touch_y_mm,ymin_touch_x_mm,ymin_touch_y_mm,ymax_touch_x_mm,ymax_touch_y_mm,bbox_width_mm,bbox_height_mm,area_mm2,perimeter_mm,cx_mm,cy_mm,ixx_c_mm4,iyy_c_mm4,ixy_c_mm4,ip_c_mm4,rx_mm,ry_mm,sx_mm3,sy_mm3,phi_deg,i1_mm4,i2_mm4,j_mm4,asx_mm2,asy_mm2,scx_elastic_mm,scy_elastic_mm,scx_trefftz_mm,scy_trefftz_mm,sc1_mm,sc2_mm,beta_x_plus,beta_x_minus,beta_y_plus,beta_y_minus,shape_factor_x,shape_factor_y,polar_r_mm,j_over_ip,asx_over_a,asy_over_a,compactness,shear_offset_ratio_x,shear_offset_ratio_y,vx,vy
sec_000_r0.125_h40,40.0,-33.380697995,-21.266071009999997,67.08823099600001,44.837045118,-30.355472926999997,-23.017994668,66.66690381,45.459099406,100.468928991,68.47709407400001,1380.1887505100344,247.53025354477842,7.019207615814706,7.259830271251449,2.3827620605114136e+16,4.815720042168358e+16,3.192964340101118e+16,7.198482102679773e+16,15.517134292736305,22.05981146181354,,,-55.42810359081322,7.016087903670911e+16,1823941990088620.5,6956275075225451.0,60175582266840.336,45510740658441.06,-6.192210450546052,-3.4018117355418864,-4.366916217431243,-2.1463657766470874,-0.7126053339951057,-7.029081517942722,-0.017581370374040405,0.017581370374040405,-0.02141890677852955,0.02141890677852955,,,7221895.8828366045,0.09663530416552461,43599531038.49244,32974287496.274,44.39336749940915,1.882180837135323,1.4685800643319287,43599531038.49244,32974287496.274
