2025-07-31 13:38:32,775 | INFO     | RawGeometry.Station_10 | Logger initialized for RawGeometry Station_10
2025-07-31 13:38:32,776 | INFO     | RawGeometry.Station_10 | Reading DXF file: C:\Users\Sam Hughes\Desktop\geometry_tools\n_sections\blade\Station_10.dxf
2025-07-31 13:38:32,793 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,793 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,793 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,793 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,794 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,794 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,794 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,794 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,794 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,794 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,795 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,795 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,795 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,795 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,795 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,795 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,795 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,795 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,795 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,795 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,796 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,796 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,796 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,796 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,796 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,796 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,796 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,796 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,796 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,797 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,797 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,797 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,797 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,797 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,797 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,797 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,798 | DEBUG    | RawGeometry.Station_10 | Parsed ARC entity with 100 points
2025-07-31 13:38:32,798 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,798 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,798 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,798 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,799 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,799 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,799 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-31 13:38:32,799 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
