# Metadata
label,sec_002_r0.145
r,0.016295464916233113
r_over_R,0.1453693311452915
B_r,32.162537355981385
Cx,0.007898215102448747
Cy,0.007749906262627203
hs,[40.0]
dxf_path,C:\Users\samea\Desktop\geometry_tools\n_sections\blade\sec_002_r0.145.dxf
material_name,Al_7075_T6

# Convergence Results
run_label,mesh_h,x_min_mm,x_max_mm,y_min_mm,y_max_mm,bbox_width_mm,bbox_height_mm,c_x_g_mm,c_y_g_mm,ixx_g_mm4,iyy_g_mm4,ixy_g_mm4,ip_g_mm4,rx_g_mm,ry_g_mm,sx_g_mm3,sy_g_mm3,principal_angle_g_deg,i11_g_mm4,i22_g_mm4,area_mm2,perimeter_mm,cx_mm,cy_mm,ixx_c_mm4,iyy_c_mm4,ixy_c_mm4,ip_c_mm4,rx_c_mm,ry_c_mm,sx_c_mm3,sy_c_mm3,principal_angle_deg,i11_c_mm4,i22_c_mm4,rx_mm,ry_mm,sx_mm3,sy_mm3,i1_mm4,i2_mm4,xmin_touch_x_mm,xmin_touch_y_mm,xmax_touch_x_mm,xmax_touch_y_mm,ymin_touch_x_mm,ymin_touch_y_mm,ymax_touch_x_mm,ymax_touch_y_mm,j_mm4,asx_mm2,asy_mm2,scx_global_mm,scy_global_mm,scx_from_centroid_mm,scy_from_centroid_mm,scx_norm_origin,scy_norm_origin,scx_norm_centroid,scy_norm_centroid,sc1_mm,sc2_mm,beta_x_plus,beta_x_minus,beta_y_plus,beta_y_minus,shape_factor_x_c,shape_factor_y_c,shape_factor_x_g,shape_factor_y_g,polar_r_c_mm,polar_r_g_mm,j_over_ip_c,j_over_ip_g,asx_over_a,asy_over_a,compactness,vx,vy
sec_002_r0.145_h40,40.0,-39.084105694295,77.587710412154,-25.192158127737,48.839962259559,116.671816106449,74.032120387296,48.839962259559,77.587710412154,3.618133568546581e+16,8.391731641277042e+16,5.176905672432001e+16,1.2009865209823622e+17,4505041.075256857,6860918.349823757,740814161427497.1,1081580007542340.1,57.37597131821819,1.1705560814263182e+17,3043043955604400.0,1782.736208162622,281.32128188821076,7.906332342356141,7.7552981124940725,3.6181335685358584e+16,8.391731641265898e+16,5.1769056724210696e+16,1.2009865209801757e+17,16.824384197405717,25.62256910343016,880653071809116.0,1204300470759940.8,-57.375971318240225,1.1705560814242234e+17,3043043955595224.0,16.824384197405717,25.62256910343016,880653071809116.0,1204300470759940.8,1.1705560814242234e+17,3043043955595224.0,-39.084105694295,-23.085359930081,77.587710412154,48.11712218755,-35.715562869618,-25.192158127737,77.133173506871,48.839962259559,1.1605770032322016e+16,80287162689030.36,57399730225083.305,-7.164871045163992,-3.6247609338501414,-15.071203387520132,-11.380059046344215,0.09234543727483968,0.07421711168789243,0.19424730163398726,0.23300712203390164,-0.8098850036759231,-7.988639133307773,-19.92520584239029,19.92520584239029,-24.351998964194813,24.351998964194813,0.007523373598107487,0.3957552004944266,0.02047503629682431,0.012888639124519798,8207776.537685291,8207776.537692763,0.09663530630510372,0.0966353063049278,45035918562.386955,32197545527.07625,44.393367499274355,45035918562.386955,32197545527.07625
