station_idx,name,rR,zL,c,beta_deg,dxf_path,x_cp,y_cp,P,A,xmin,xmax,ymin,ymax,n_vertices
0,,0.125,0.0,0.120433447141891,34.1104050834199,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p5_L0p7m_cp33pc_20250820-015816\sections\sec_000_r0.125.dxf,-0.24305940133086779,0.8213102912837549,247.5789675434967,1380.4653999831062,-33.40661845254662,67.08901503598597,-23.037610190454384,45.45909940621864,721
1,,0.12516353240299005,0.00018689417484565082,0.12058387166917273,34.11032098795283,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p5_L0p7m_cp33pc_20250820-015816\sections\sec_001_r0.125.dxf,-0.24336178190592506,0.822336486525046,247.8882001532197,1383.9160284248096,-33.448374844924,67.17287686119137,-23.066339493428373,45.51578103893038,721
2,,0.1259250789687839,0.0010572331071814966,0.12130056202627511,34.10781596600926,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p5_L0p7m_cp33pc_20250820-015816\sections\sec_002_r0.126.dxf,-0.2447720356926979,0.8272347466622882,249.3615239089596,1400.415528029126,-33.64809373309271,67.5740932287255,-23.202077619745538,45.78336835885611,721
3,,0.12754921787596318,0.0029133918582435153,0.1229140556011863,34.092394859261375,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p5_L0p7m_cp33pc_20250820-015816\sections\sec_003_r0.128.dxf,-0.24780227942109434,0.8383050322583045,252.67843530603966,1437.9188887527068,-34.10139553611732,68.48525069629548,-23.502238824321722,46.37404600781863,721
4,,0.13023303689568128,0.005980613595064197,0.1258164444345182,34.045438159549356,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p5_L0p7m_cp33pc_20250820-015816\sections\sec_004_r0.130.dxf,-0.2529503332652254,0.8583076536151069,258.64497074797123,1506.6282528001725,-34.92447420016366,70.1407496389225,-24.030809195281424,47.41197655912546,721
5,,0.13414173924024045,0.010447701988846116,0.13092181712008527,33.8178981376263,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p5_L0p7m_cp33pc_20250820-015816\sections\sec_005_r0.134.dxf,-0.259665540313307,0.8941742779432005,269.14025198764443,1631.380775951869,-36.43123278021242,73.17957703766366,-24.872615865359393,49.04743350444044,721
6,,0.13942055397452432,0.016480633113741976,0.13433669439959045,33.106439029561685,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p5_L0p7m_cp33pc_20250820-015816\sections\sec_006_r0.139.dxf,-0.2551467973084982,0.8426476926289332,276.1603266530449,1717.5943641546476,-37.66529993320092,75.6988004785943,-25.0914380653493,49.39630559399576,721
7,,0.14620063741100958,0.02422929989829655,0.13717313140436535,32.02802928189158,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p5_L0p7m_cp33pc_20250820-015816\sections\sec_007_r0.146.dxf,-0.2442938504683312,0.8651907079273222,281.9912827687241,1790.8920030596892,-38.890506568180804,78.21922894003882,-24.95057102395581,48.98437210299462,721
8,,0.15460252700108498,0.0338314594298113,0.13977180588827634,30.664872656080096,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p5_L0p7m_cp33pc_20250820-015816\sections\sec_008_r0.155.dxf,-0.22902646982900876,0.8089481602170601,287.33346271106444,1859.389800044467,-40.16261482859281,80.84825898584293,-24.549958087576954,48.0132172385921,721
9,,0.1647383739265796,0.045415284487519456,0.14220780120699467,29.080174639326277,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p5_L0p7m_cp33pc_20250820-015816\sections\sec_009_r0.165.dxf,-0.21097570362091744,0.7524109727896189,292.3412177846074,1924.7668683798713,-41.469159986480875,83.5556408706705,-23.932768235702913,46.56906310709209,721
