station_idx,name,rR,zL,c,beta_deg,dxf_path,x_cp,y_cp,P,A,xmin,xmax,ymin,ymax,n_vertices
0,,0.125,0.0,0.120433447141891,34.1104050834199,n_slicer\blade_output\Blade01_N_NACA_63-415_n8_pr2_L0p7m_cp33pc_20250821-024200\sections\sec_000_r0.125.dxf,-0.24305940133086779,0.8213102912837549,247.5789675434967,1380.4653999831062,-33.40661845254662,67.08901503598597,-23.037610190454384,45.45909940621864,722
1,,0.14285714285714285,0.020408163265305992,0.13589714771909087,32.566847419079565,n_slicer\blade_output\Blade01_N_NACA_63-415_n8_pr2_L0p7m_cp33pc_20250821-024200\sections\sec_001_r0.143.dxf,-0.250071308870524,0.8548288347422677,279.36820146614866,1757.7292293687751,-38.3176329648717,77.0386144775561,-25.051561493785716,49.25107015800276,722
2,,0.19642857142857142,0.08163265306122436,0.147221646796614,24.714039830600804,n_slicer\blade_output\Blade01_N_NACA_63-415_n8_pr2_L0p7m_cp33pc_20250821-024200\sections\sec_002_r0.196.dxf,-0.1641848192922737,0.6440917886648876,302.6483437862238,2062.883177032421,-44.50426239729663,89.8596090512014,-21.73798201409991,41.51975244907605,722
3,,0.2857142857142857,0.18367346938775497,0.13826627785296583,15.722422395264825,n_slicer\blade_output\Blade01_N_NACA_63-415_n8_pr2_L0p7m_cp33pc_20250821-024200\sections\sec_003_r0.286.dxf,-0.08186561882789789,0.3492687142353077,284.23849959711475,1819.549332604337,-44.11962672267727,89.32813419807839,-14.50353731504674,25.382072646133544,722
4,,0.4107142857142857,0.3265306122448979,0.10802675951098896,9.51678910160458,n_slicer\blade_output\Blade01_N_NACA_63-415_n8_pr2_L0p7m_cp33pc_20250821-024200\sections\sec_004_r0.411.dxf,-0.03828520595107676,0.23668972015297474,222.07413489784062,1110.692882546507,-35.251907816464424,71.45603948812148,-8.426488204445828,12.916548147090232,722
5,,0.5714285714285714,0.510204081632653,0.07985686693773059,5.347840678691046,n_slicer\blade_output\Blade01_N_NACA_63-415_n8_pr2_L0p7m_cp33pc_20250821-024200\sections\sec_005_r0.571.dxf,-0.015506955481203732,0.17656318180141772,164.16436743198332,606.9540673223036,-26.276439355772244,53.302143675412715,-5.109614290232061,8.250079380816672,722
6,,0.7678571428571428,0.7346938775510203,0.05985562412095914,2.491050403835457,n_slicer\blade_output\Blade01_N_NACA_63-415_n8_pr2_L0p7m_cp33pc_20250821-024200\sections\sec_006_r0.768.dxf,-0.005012764805833569,0.13275534136765998,123.0471598482056,340.9896668851283,-19.746497774542416,40.0761840731442,-3.469225572381149,5.827226006589265,722
7,,1.0,1.0,0.043089963807692,0.315909961538458,n_slicer\blade_output\Blade01_N_NACA_63-415_n8_pr2_L0p7m_cp33pc_20250821-024200\sections\sec_007_r1.000.dxf,2.1219464761301765e-05,0.09563845269565309,88.58144480765475,176.71912400154494,-14.219926600381624,28.87082436884985,-2.410463814400477,4.089896378735108,722
