b0,b1,b2,b3,b4,b5,Equation
875.1057656,-4323.930503,9634.695723,-12635.3558,9553.931258,-3132.995279,9635.0*x^2 - 4324.0*x - 12640.0*x^3 + 9554.0*x^4 - 3133.0*x^5 + 875.1
784.6517137,-3601.401108,7409.491304,-9224.516462,6908.629405,-2297.444376,7409.0*x^2 - 3601.0*x - 9225.0*x^3 + 6909.0*x^4 - 2297.0*x^5 + 784.7
610.1326292,-2097.583873,2345.577456,-568.8749102,-671.6160078,407.0560577,2346.0*x^2 - 2098.0*x - 568.9*x^3 - 671.6*x^4 + 407.1*x^5 + 610.1
560.3536895,-1769.269311,2015.774982,-1815.077165,2105.434769,-1125.135422,2016.0*x^2 - 1769.0*x - 1815.0*x^3 + 2105.0*x^4 - 1125.0*x^5 + 560.4
782.8196128,-3880.860319,9458.715742,-14621.25535,13082.99834,-4900.606275,9459.0*x^2 - 3881.0*x - 14620.0*x^3 + 13080.0*x^4 - 4901.0*x^5 + 782.8
861.46861,-4309.920799,9959.717674,-13816.57799,11063.40861,-3802.441976,9960.0*x^2 - 4310.0*x - 13820.0*x^3 + 11060.0*x^4 - 3802.0*x^5 + 861.5
777.1398019,-2808.201825,2200.544177,3729.219517,-7313.413029,3505.356638,2201.0*x^2 - 2808.0*x + 3729.0*x^3 - 7313.0*x^4 + 3505.0*x^5 + 777.1
689.3514591,-2994.08847,6122.527072,-8257.878086,6959.48168,-2550.338432,6123.0*x^2 - 2994.0*x - 8258.0*x^3 + 6959.0*x^4 - 2550.0*x^5 + 689.4
720.3415352,-2958.775562,4798.870684,-3858.51554,1427.704982,-102.0194893,4799.0*x^2 - 2959.0*x - 3859.0*x^3 + 1428.0*x^4 - 102.0*x^5 + 720.3
895.6392721,-4614.964455,11087.48411,-15982.2287,13182.36238,-4630.425177,11090.0*x^2 - 4615.0*x - 15980.0*x^3 + 13180.0*x^4 - 4630.0*x^5 + 895.6
760.3434896,-3302.166285,6080.808684,-6435.416064,4094.840924,-1198.453916,6081.0*x^2 - 3302.0*x - 6435.0*x^3 + 4095.0*x^4 - 1198.0*x^5 + 760.3
773.3147653,-2507.900877,91.67945574,9337.277524,-13839.06604,6300.510682,91.68*x^2 - 2508.0*x + 9337.0*x^3 - 13840.0*x^4 + 6301.0*x^5 + 773.3
680.4694739,-2722.709385,4504.965556,-4342.282771,2692.473553,-809.0504327,4505.0*x^2 - 2723.0*x - 4342.0*x^3 + 2692.0*x^4 - 809.1*x^5 + 680.5
