r/R [-],Jt [mm⁴],Iz [mm⁴],filename
0.25,0.0005080534929728955,0.004977785227557004,Station_2.dxf
0.375,0.0002980461364347178,0.002613763799922472,Station_4.dxf
0.5,0.00016948757275258113,0.0012572094756536562,Station_6.dxf
0.625,8.092526290652849e-05,0.0005343495315146162,Station_8.dxf
0.75,3.063345206660704e-05,0.00017790593636419626,Station_10.dxf
0.875,1.3290987766531066e-05,2.448294195137508e-05,Station_12.dxf
1.0,-2.3320148698883302e-05,1.2152859135290413e-05,Station_14.dxf
