r/R [-],X_vert [mm],Y_horiz [mm],Cz [mm],B [deg],filename
0.125,7.051297835188716,6.713722240546818,0.0,34.1104050834199,sec_000_r0.125.dxf
0.14006160190191774,7.737461752720378,7.656706389905117,12.049281521534116,33.00611745844255,sec_001_r0.140.dxf
0.16760064336151292,7.565522659412801,8.720005505294438,34.08051468921025,28.650635131758147,sec_002_r0.168.dxf
0.20326237921249266,7.032024142306486,9.625256803769428,62.60990336999406,23.856688311463785,sec_003_r0.203.dxf
0.24549281521534186,6.101547889593679,9.994625177304323,96.3942521722734,19.108907714428693,sec_004_r0.245.dxf
0.2933938285136408,5.0984356194039995,9.801943969616854,134.71506281091257,15.186542451820538,sec_005_r0.293.dxf
0.34635943621178655,4.151379702613574,9.14110077155562,177.08754896942918,12.130463417368313,sec_006_r0.346.dxf
0.4039447708511224,3.3270559717066774,8.212722985296812,223.15581668089789,9.758915919864583,sec_007_r0.404.dxf
0.46580514689210334,2.6827993469670584,7.333777834547914,272.6441175136826,7.798787900522596,sec_008_r0.466.dxf
0.5316632513517787,2.1875575361445367,6.5539704533180805,325.3306010814229,6.163324099851971,sec_009_r0.532.dxf
0.6012896722078402,1.8082626977138525,5.879153494376548,381.03173776627216,4.801984766211943,sec_010_r0.601.dxf
0.6744905047540083,1.5132800853282133,5.294186328383594,439.59240380320654,3.6575092146056645,sec_011_r0.674.dxf
0.7510990336999412,1.2784395054018416,4.779742876297915,500.8792269599529,2.679954836541262,sec_012_r0.751.dxf
0.8309699133238743,1.0893446118858219,4.325576303651786,564.7759306590993,1.840872709522435,sec_013_r0.831.dxf
0.913974956181425,0.9279047890458294,3.89928962202403,631.17996494514,1.0911351407943384,sec_014_r0.914.dxf
1.0,0.7605261574667609,3.3995125634126833,700.0,0.315909961538458,sec_015_r1.000.dxf
