station_idx,name,rR,zL,c,beta_deg,dxf_path,X_vert_cp,Y_horiz_cp,P,A,X_vert_min,X_vert_max,Y_horiz_min,Y_horiz_max,n_vertices
0,,0.125,0.0,0.120433447141891,34.1104050834199,n_slicer\blade_output\Blade01_N_NACA_63-415_n16_pr1p5_L0p7m_cp33pc_20250822-234956\sections\sec_000_r0.125.dxf,0.6177620849872554,-0.5415679258529025,247.57896754349667,1380.4653999831055,-23.241158396750887,45.25555119992213,-33.70512697706865,66.79050651146393,722
1,,0.14006160190191774,0.01721325931647731,0.13464862067559433,33.00611745844255,n_slicer\blade_output\Blade01_N_NACA_63-415_n16_pr1p5_L0p7m_cp33pc_20250822-234956\sections\sec_001_r0.140.dxf,0.6239513272916675,-0.5923263833648065,276.80156367810275,1725.5800426721123,-25.3099302210554,49.15778010344503,-38.130649577215586,75.62184494960493,722
2,,0.16760064336151292,0.048686449556014644,0.1428006143980509,28.650635131758147,n_slicer\blade_output\Blade01_N_NACA_63-415_n16_pr1p5_L0p7m_cp33pc_20250822-234956\sections\sec_002_r0.168.dxf,0.5505348728803732,-0.5814912924832711,293.55988320746906,1940.8476381494795,-23.952591699656878,45.92953917569212,-42.177503055815635,83.87101743913091,722
3,,0.20326237921249266,0.08944271909999152,0.1474497361446554,23.856688311463785,n_slicer\blade_output\Blade01_N_NACA_63-415_n16_pr1p5_L0p7m_cp33pc_20250822-234956\sections\sec_003_r0.203.dxf,0.3980031976656129,-0.5589020574026478,303.11723450251475,2069.28014618693,-21.346909524601227,40.05835906686515,-45.25831657948157,90.19445469954549,722
4,,0.24549281521534186,0.13770607453181916,0.14484628299405125,19.108907714428693,n_slicer\blade_output\Blade01_N_NACA_63-415_n16_pr1p5_L0p7m_cp33pc_20250822-234956\sections\sec_004_r0.245.dxf,0.3129952587986722,-0.5194297051467274,297.7652308991052,1996.8525687768183,-17.64017249143728,31.91283280015539,-45.83576195559722,91.48645698516184,722
5,,0.2933938285136408,0.19245008972987512,0.13666679335574058,15.186542451820538,n_slicer\blade_output\Blade01_N_NACA_63-415_n16_pr1p5_L0p7m_cp33pc_20250822-234956\sections\sec_005_r0.293.dxf,0.20509291481834424,-0.4732963944537616,280.9503871182093,1777.6952034590945,-14.107655315115661,24.155220009887298,-44.11003963756386,88.12251564458792,722
6,,0.34635943621178655,0.2529822128134703,0.12418563124221536,12.130463417368313,n_slicer\blade_output\Blade01_N_NACA_63-415_n16_pr1p5_L0p7m_cp33pc_20250822-234956\sections\sec_006_r0.346.dxf,0.19037744911929266,-0.4203677440172058,255.2924548482066,1467.8240181695403,-11.107859002895305,17.66377145340104,-40.567770081666815,81.09102488090775,722
7,,0.4039447708511224,0.3187940238298541,0.10960734356879208,9.758915919864583,n_slicer\blade_output\Blade01_N_NACA_63-415_n16_pr1p5_L0p7m_cp33pc_20250822-234956\sections\sec_007_r0.404.dxf,0.18323754779029677,-0.3637495865083835,225.32339312662452,1143.4326687140083,-8.711117135421846,13.193233113437449,-36.068441091558654,72.12759377223004,722
8,,0.46580514689210334,0.38949159644811804,0.09659496808269098,7.798787900522596,n_slicer\blade_output\Blade01_N_NACA_63-415_n16_pr1p5_L0p7m_cp33pc_20250822-234956\sections\sec_008_r0.466.dxf,0.17235408730302204,-0.31485495585721424,198.5734281908735,888.0558879989585,-6.95847208908849,10.735132323657327,-31.936921867919416,63.88752332014786,722
9,,0.5316632513517787,0.46475800154488994,0.08546644203334303,6.163324099851971,n_slicer\blade_output\Blade01_N_NACA_63-415_n16_pr1p5_L0p7m_cp33pc_20250822-234956\sections\sec_009_r0.532.dxf,0.16038617606937144,-0.27411528918185013,175.6961540202488,695.2204536933908,-5.694838942231663,9.004327815501734,-28.34330164529521,56.714838827775566,722
10,,0.6012896722078402,0.5443310539518174,0.07608469888631494,4.801984766211943,n_slicer\blade_output\Blade01_N_NACA_63-415_n16_pr1p5_L0p7m_cp33pc_20250822-234956\sections\sec_010_r0.601.dxf,0.14853757448495442,-0.24056436025086825,156.409798466854,550.9674517881629,-4.780604865469166,7.733357652476976,-25.27991087015552,50.59689673561614,722
11,,0.6744905047540083,0.6279891482902951,0.06810955255294313,3.6575092146056645,n_slicer\blade_output\Blade01_N_NACA_63-415_n16_pr1p5_L0p7m_cp33pc_20250822-234956\sections\sec_011_r0.674.dxf,0.13724271401413968,-0.21264976691603366,140.01502988650913,441.5169142651659,-4.100052286528344,6.754632472134161,-22.656240612125,45.35464073699308,722
12,,0.7510990336999412,0.7155417527999328,0.06120170378335595,2.679954836541262,n_slicer\blade_output\Blade01_N_NACA_63-415_n16_pr1p5_L0p7m_cp33pc_20250822-234956\sections\sec_012_r0.751.dxf,0.12656525050038403,-0.1889504790467349,125.8143397384803,356.49900048535983,-3.574075967621445,5.966925010672729,-20.3720265627415,40.788810054515366,722
13,,0.8309699133238743,0.8068227580844277,0.05517617410743316,1.840872709522435,n_slicer\blade_output\Blade01_N_NACA_63-415_n16_pr1p5_L0p7m_cp33pc_20250822-234956\sections\sec_013_r0.831.dxf,0.11658681534031912,-0.1686583815774476,113.42746174510958,289.7573480717579,-3.157077952719079,5.315812723682361,-18.37261885923117,36.79089773971951,722
14,,0.913974956181425,0.9016856642073429,0.04957941299789776,1.0911351407943384,n_slicer\blade_output\Blade01_N_NACA_63-415_n16_pr1p5_L0p7m_cp33pc_20250822-234956\sections\sec_014_r0.914.dxf,0.10673497723779099,-0.15016685021693732,101.92201728619735,233.9559273108004,-2.799623444116217,4.736374873345511,-16.511060389389282,33.06740488082994,722
