filename,material_name,elastic_modulus,poissons_ratio,yield_strength,density,color
sec_000_r0.125.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_001_r0.140.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_002_r0.168.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_003_r0.203.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_004_r0.245.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_005_r0.293.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_006_r0.346.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_007_r0.404.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_008_r0.466.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_009_r0.532.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_010_r0.601.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_011_r0.674.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_012_r0.751.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_013_r0.831.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_014_r0.914.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_015_r1.000.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
