# Metadata
label,Station_8
r,0.5
r_over_R,0.625
B_r,4.40404609966419
Cx,0.0017900000000000001
Cy,-0.00571
hs,"[40.0, 10.0, 2.5]"
dxf_path,\\mull.sms.ed.ac.uk\home\s1834431\Win7\Desktop\geometry_tools\n_sections\blade\Station_8.dxf
material_name,Al_7075_T6

# Convergence Results
run_label,mesh_h,xmin_touch_x_mm,xmin_touch_y_mm,xmax_touch_x_mm,xmax_touch_y_mm,ymin_touch_x_mm,ymin_touch_y_mm,ymax_touch_x_mm,ymax_touch_y_mm,bbox_width_mm,bbox_height_mm,area_mm2,perimeter_mm,cx_mm,cy_mm,ixx_c_mm4,iyy_c_mm4,ixy_c_mm4,ip_c_mm4,rx_mm,ry_mm,sx_mm3,sy_mm3,phi_deg,i1_mm4,i2_mm4,j_mm4,asx_mm2,asy_mm2,scx_elastic_mm,scy_elastic_mm,scx_trefftz_mm,scy_trefftz_mm,sc1_mm,sc2_mm,beta_x_plus,beta_x_minus,beta_y_plus,beta_y_minus,shape_factor_x,shape_factor_y,polar_r_mm,j_over_ip,asx_over_a,asy_over_a,compactness,shear_offset_ratio_x,shear_offset_ratio_y,vx,vy
Station_8_h40,40.0,-23.983157775,-1.847107091,48.693077906999996,3.750187123,-12.352633718,-4.353569681,10.172491185,7.600705304,72.67623568199998,11.954274985,377.6304439260479,149.52487101601304,5.914063697090338,1.911135913404654,299916158970107.8,8374186407523686.0,721993701428430.9,8674102566493793.0,3.3281803743852976,17.586452143995746,,,-84.93026015232132,8438238296365378.0,235864270128415.22,822410885592947.1,20493924927851.555,1320640094553.3064,-8.108139366128079,-0.09654660293746675,-7.38742886682185,-0.0333980186170173,-0.6203330730454246,-8.08495096494596,-0.002064936249652599,0.002064936249652599,-0.02109573211222949,0.02109573211222949,,,4792683.798809858,0.09481221593686762,54269790101.628876,3497175918.401139,59.20520289601884,2.370992904610954,1.0505179156857927,54269790101.628876,3497175918.401139
Station_8_h10,10.0,-23.983157775,-1.847107091,48.693077906999996,3.750187123,-12.352633718,-4.353569681,10.172491185,7.600705304,72.67623568199998,11.954274985,377.6304439260479,149.52487101601304,5.914063697090338,1.911135913404654,299916158970107.8,8374186407523686.0,721993701428430.9,8674102566493793.0,3.3281803743852976,17.586452143995746,,,-84.93026015232132,8438238296365378.0,235864270128415.22,822410885592947.1,20493924927851.555,1320640094553.3064,-8.108139366128079,-0.09654660293746675,-7.38742886682185,-0.0333980186170173,-0.6203330730454246,-8.08495096494596,-0.002064936249652599,0.002064936249652599,-0.02109573211222949,0.02109573211222949,,,4792683.798809858,0.09481221593686762,54269790101.628876,3497175918.401139,59.20520289601884,2.370992904610954,1.0505179156857927,54269790101.628876,3497175918.401139
Station_8_h2.5,2.5,-23.983157775,-1.847107091,48.693077906999996,3.750187123,-12.352633718,-4.353569681,10.172491185,7.600705304,72.67623568199998,11.954274985,377.6304439260479,149.52487101601304,5.914063697090338,1.911135913404654,299916158970107.8,8374186407523686.0,721993701428430.9,8674102566493793.0,3.3281803743852976,17.586452143995746,,,-84.93026015232132,8438238296365378.0,235864270128415.22,822410885592947.1,20493924927851.555,1320640094553.3064,-8.108139366128079,-0.09654660293746675,-7.38742886682185,-0.0333980186170173,-0.6203330730454246,-8.08495096494596,-0.002064936249652599,0.002064936249652599,-0.02109573211222949,0.02109573211222949,,,4792683.798809858,0.09481221593686762,54269790101.628876,3497175918.401139,59.20520289601884,2.370992904610954,1.0505179156857927,54269790101.628876,3497175918.401139
