2025-07-30 14:23:10,424 | INFO     | RawGeometry.Station_8 | Logger initialized for RawGeometry Station_8
2025-07-30 14:23:10,424 | INFO     | RawGeometry.Station_8 | Reading DXF file: C:\Users\Sam Hughes\Desktop\geometry_tools\n_sections\blade\Station_8.dxf
2025-07-30 14:23:10,440 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,441 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,441 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,441 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,442 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,442 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,442 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,442 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,442 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,443 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,443 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,443 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,443 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,443 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,444 | DEBUG    | RawGeometry.Station_8 | Parsed ARC entity with 100 points
2025-07-30 14:23:10,444 | DEBUG    | RawGeometry.Station_8 | Parsed ARC entity with 100 points
2025-07-30 14:23:10,444 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,444 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,444 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,444 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,445 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,445 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,445 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,445 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,445 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,446 | DEBUG    | RawGeometry.Station_8 | Parsed ARC entity with 100 points
2025-07-30 14:23:10,446 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,446 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,446 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,446 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,446 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,446 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,447 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,447 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,447 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,447 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,447 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,448 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,448 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,448 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,448 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,448 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-30 14:23:10,449 | DEBUG    | RawGeometry.Station_8 | Parsed ARC entity with 100 points
2025-07-30 14:23:10,449 | INFO     | RawGeometry.Station_8 | Extraction complete: 43 entities, 2350 total points.
