# Metadata
label,sec_005_r0.326
r,0.16103370208331813
r_over_R,0.3262921276041478
B_r,13.167464437576882
Cx,0.00942944126484991
Cy,0.004489920155410786
hs,[40.0]
dxf_path,C:\Users\samea\Desktop\geometry_tools\n_sections\blade\sec_005_r0.326.dxf
material_name,Al_7075_T6

# Convergence Results
run_label,mesh_h,x_min_mm,x_max_mm,y_min_mm,y_max_mm,bbox_width_mm,bbox_height_mm,c_x_g_mm,c_y_g_mm,ixx_g_mm4,iyy_g_mm4,ixy_g_mm4,ip_g_mm4,rx_g_mm,ry_g_mm,sx_g_mm3,sy_g_mm3,principal_angle_g_deg,i11_g_mm4,i22_g_mm4,area_mm2,perimeter_mm,cx_mm,cy_mm,ixx_c_mm4,iyy_c_mm4,ixy_c_mm4,ip_c_mm4,rx_c_mm,ry_c_mm,sx_c_mm3,sy_c_mm3,principal_angle_deg,i11_c_mm4,i22_c_mm4,rx_mm,ry_mm,sx_mm3,sy_mm3,i1_mm4,i2_mm4,xmin_touch_x_mm,xmin_touch_y_mm,xmax_touch_x_mm,xmax_touch_y_mm,ymin_touch_x_mm,ymin_touch_y_mm,ymax_touch_x_mm,ymax_touch_y_mm,j_mm4,asx_mm2,asy_mm2,scx_global_mm,scy_global_mm,scx_from_centroid_mm,scy_from_centroid_mm,scx_norm_origin,scy_norm_origin,scx_norm_centroid,scy_norm_centroid,sc1_mm,sc2_mm,beta_x_plus,beta_x_minus,beta_y_plus,beta_y_minus,shape_factor_x_c,shape_factor_y_c,shape_factor_x_g,shape_factor_y_g,polar_r_c_mm,polar_r_g_mm,j_over_ip_c,j_over_ip_g,asx_over_a,asy_over_a,compactness,vx,vy
sec_005_r0.326_h40,40.0,-41.97191661924,84.023716717803,-12.146648315934,19.893183358235,125.99563333704299,32.039831674169,19.893183358235,84.023716717803,7438224897437278.0,8.786590826143541e+16,2.071851568845188e+16,9.530413315887269e+16,2164201.578210639,7438292.598283676,373908225922933.75,1045727464741134.5,76.37104423662278,9.288932948467312e+16,2414803674199560.0,1588.085522007808,265.51923508245056,9.438341767080514,4.492238379526149,7438224897405230.0,8.786590826129394e+16,2.0718515688384548e+16,9.530413315869917e+16,8.082358900655992,27.778812746827906,447038617038886.3,1178058142354928.5,-76.3710442366448,9.28893294845069e+16,2414803674192272.0,8.082358900655992,27.778812746827906,447038617038886.3,1178058142354928.5,9.28893294845069e+16,2414803674192272.0,-41.97191661924,-8.595377450366,84.023716717803,19.10612359057,-33.397812741099,-12.146648315934,83.73470230373,19.893183358235,9209743997774528.0,95624964678867.73,43324819955161.3,-7.507719919685278,-1.0337849062512963,-16.94606168676579,-5.526023285777445,0.08935239016979282,0.051966791218628655,0.20168188636167828,0.2777847660811857,-0.7643930831048404,-7.539911991484622,-18.168505336554453,18.168505336554453,-23.066579634511903,23.066579634511903,0.004812593863253672,0.4878484139084215,0.05026847548690789,0.011901401640664621,7746739.007395427,7746739.00740248,0.09663530523318004,0.09663530523300408,60213989330.983635,27281162981.94442,44.393367499274405,60213989330.983635,27281162981.94442
