RunLabel,Mesh_h_mm,Area_mm2,Perimeter_mm,Cx_mm,Cy_mm,Ixx_c_mm4,Iyy_c_mm4,Ixy_c_mm4,Ip_c_mm4,Principal_angle_deg,I1_mm4,I2_mm4,J_mm4,rx_mm,ry_mm
C-Section_flat_h3,3.0,1307.5519589902397,380.34014604292054,-2.257793307995401e-10,-2.658133979320239e-10,2087686.5113716947,323400.29220075463,385.8205053438704,2411086.80357245,-0.012529647981595988,2087686.5957443176,323400.2078281321,26067.27013531999,39.95794683963964,15.726813119496661
C-Section_flat_h0.75,0.75,1307.5519589902397,380.34014604292054,-2.257793307995401e-10,-2.658133979320239e-10,2087686.5113716947,323400.29220075463,385.8205053438704,2411086.80357245,-0.012529647981595988,2087686.5957443176,323400.2078281321,26067.27013531999,39.95794683963964,15.726813119496661
C-Section_flat_h0.1875,0.1875,1307.5519589902397,380.34014604292054,-2.257793307995401e-10,-2.658133979320239e-10,2087686.5113716947,323400.29220075463,385.8205053438704,2411086.80357245,-0.012529647981595988,2087686.5957443176,323400.2078281321,26067.27013531999,39.95794683963964,15.726813119496661
