# Metadata
label,sec_008_r0.777
r,0.5214548773194622
r_over_R,0.7768185966493277
B_r,2.3932301324812824
Cx,0.004626167951322796
Cy,0.0012125888236423858
hs,[40.0]
dxf_path,C:\Users\samea\Desktop\geometry_tools\n_sections\blade\sec_008_r0.777.dxf
material_name,Al_7075_T6

# Convergence Results
run_label,mesh_h,x_min_mm,x_max_mm,y_min_mm,y_max_mm,bbox_width_mm,bbox_height_mm,c_x_g_mm,c_y_g_mm,ixx_g_mm4,iyy_g_mm4,ixy_g_mm4,ip_g_mm4,rx_g_mm,ry_g_mm,sx_g_mm3,sy_g_mm3,principal_angle_g_deg,i11_g_mm4,i22_g_mm4,area_mm2,perimeter_mm,cx_mm,cy_mm,ixx_c_mm4,iyy_c_mm4,ixy_c_mm4,ip_c_mm4,rx_c_mm,ry_c_mm,sx_c_mm3,sy_c_mm3,principal_angle_deg,i11_c_mm4,i22_c_mm4,rx_mm,ry_mm,sx_mm3,sy_mm3,i1_mm4,i2_mm4,xmin_touch_x_mm,xmin_touch_y_mm,xmax_touch_x_mm,xmax_touch_y_mm,ymin_touch_x_mm,ymin_touch_y_mm,ymax_touch_x_mm,ymax_touch_y_mm,j_mm4,asx_mm2,asy_mm2,scx_global_mm,scy_global_mm,scx_from_centroid_mm,scy_from_centroid_mm,scx_norm_origin,scy_norm_origin,scx_norm_centroid,scy_norm_centroid,sc1_mm,sc2_mm,beta_x_plus,beta_x_minus,beta_y_plus,beta_y_minus,shape_factor_x_c,shape_factor_y_c,shape_factor_x_g,shape_factor_y_g,polar_r_c_mm,polar_r_g_mm,j_over_ip_c,j_over_ip_g,asx_over_a,asy_over_a,compactness,vx,vy
sec_008_r0.777_h40,40.0,-19.685093452,39.433450892335,-3.428161902194,5.742278878972,59.11854434433501,9.170440781166,5.742278878972,39.433450892335,116047405780448.23,4074512280112835.0,197883113090290.5,4190559685893283.0,590324.3548456838,3497927.4574458716,20209294641785.734,103326292472790.67,87.14527854171848,4084379832081711.0,106179853811571.75,333.0075147279441,121.58669738642138,4.630370272421375,1.2128697583617936,116047405779958.36,4074512280105695.0,197883113088420.3,4190559685885653.5,2.2046067019348827,13.06324947001823,25004657211509.074,117073322462562.12,-87.14527854174051,4084379832074402.0,106179853811251.75,2.2046067019348827,13.06324947001823,25004657211509.074,117073322462562.12,4084379832074402.0,106179853811251.75,-19.685093452,-0.739264053667,39.433450892335,1.402130848622,-4.800032131144,-3.428161902194,5.037633946695,5.742278878972,404956001676106.5,21857211631881.285,8756758419715.437,-3.465828744928115,0.1776406314892668,-8.096199017349491,-1.0352291268725269,0.08789057681994035,0.030935563255170315,0.20531297246732252,0.18028193138851117,-0.35003119878470246,-3.4526805880363796,2.8873924424398236,-2.8873924424398236,-10.47651435608887,10.47651435608887,0.006122020536667262,1.1025944966045527,0.17414688855707805,0.025359180527473896,3547390.497457927,3547390.4974611565,0.09663530221035883,0.09663530221018289,65635790981.28728,26295978416.191036,44.393367499273054,65635790981.28728,26295978416.191036
