RunLabel,Mesh_h_mm,Area_mm2,Perimeter_mm,Cx_mm,Cy_mm,Ixx_c_mm4,Iyy_c_mm4,Ixy_c_mm4,Ip_c_mm4,Principal_angle_deg,I1_mm4,I2_mm4,J_mm4,rx_mm,ry_mm
Station8_SE_h3,3.0,376.8420350093967,-1.0,18.27147494675313,-1.7507132780783627,3316.196388582375,116021.63257245313,988.7263749585545,119337.82896103551,-89.49741522348789,116030.3056644983,3307.5232965372197,11570.82425216907,2.9664733479713443,17.546472332591332
Station8_SE_h0.75,0.75,376.84203500939645,-1.0,18.271474946753116,-1.7507132780783639,3316.196388582373,116021.63257245332,988.72637495854,119337.8289610357,-89.4974152234879,116030.30566449849,3307.5232965372124,11566.678584339883,2.9664733479713443,17.546472332591353
Station8_SE_h0.1875,0.1875,376.84203500939685,-1.0,18.271474946753123,-1.750713278078362,3316.1963885823716,116021.6325724533,988.7263749585836,119337.82896103567,-89.49741522348786,116030.30566449845,3307.5232965372197,11562.37618766012,2.9664733479713425,17.546472332591343
