# Metadata
label,Station_6
r,0.4
r_over_R,0.5
B_r,6.89916829995298
Cx,0.0025
Cy,-0.00705
hs,"[40.0, 10.0, 2.5]"
dxf_path,\\mull.sms.ed.ac.uk\home\s1834431\Win7\Desktop\geometry_tools\n_sections\blade\Station_6.dxf
material_name,Al_7075_T6

# Convergence Results
run_label,mesh_h,xmin_touch_x_mm,xmin_touch_y_mm,xmax_touch_x_mm,xmax_touch_y_mm,ymin_touch_x_mm,ymin_touch_y_mm,ymax_touch_x_mm,ymax_touch_y_mm,bbox_width_mm,bbox_height_mm,area_mm2,perimeter_mm,cx_mm,cy_mm,ixx_c_mm4,iyy_c_mm4,ixy_c_mm4,ip_c_mm4,rx_mm,ry_mm,sx_mm3,sy_mm3,phi_deg,i1_mm4,i2_mm4,j_mm4,asx_mm2,asy_mm2,scx_elastic_mm,scy_elastic_mm,scx_trefftz_mm,scy_trefftz_mm,sc1_mm,sc2_mm,beta_x_plus,beta_x_minus,beta_y_plus,beta_y_minus,shape_factor_x,shape_factor_y,polar_r_mm,j_over_ip,asx_over_a,asy_over_a,compactness,shear_offset_ratio_x,shear_offset_ratio_y,vx,vy
Station_6_h40,40.0,-29.316805176,-3.320425524,59.521998388,6.741470004,-14.849064756,-6.341540173,20.97901503,9.670565108,88.838803564,16.012105281,574.2730993928187,183.63521968968354,7.2280735236435,2.322407009259373,868843074783894.0,1.9092426718454604e+16,2434558859432794.5,1.99612697932385e+16,4.593586063278414,21.53335755370085,,,-82.52035721672662,1.9412062521560676e+16,549207271677818.44,1912153788824838.5,27804653359764.28,2018901217214.2275,-9.915761357210656,-0.5316627199418675,-9.030403745368973,-0.4164689164076471,-0.7636346623376421,-9.900598499252688,-0.008453411114957312,0.008453411114957312,-0.025861594474736946,0.025861594474736946,,,5895692.793617614,0.09579319395164652,48417126606.0734,3515576855.939831,58.72100564371313,2.371840134826459,1.2289274523467002,48417126606.0734,3515576855.939831
Station_6_h10,10.0,-29.316805176,-3.320425524,59.521998388,6.741470004,-14.849064756,-6.341540173,20.97901503,9.670565108,88.838803564,16.012105281,574.2730993928187,183.63521968968354,7.2280735236435,2.322407009259373,868843074783894.0,1.9092426718454604e+16,2434558859432794.5,1.99612697932385e+16,4.593586063278414,21.53335755370085,,,-82.52035721672662,1.9412062521560676e+16,549207271677818.44,1912153788824838.5,27804653359764.28,2018901217214.2275,-9.915761357210656,-0.5316627199418675,-9.030403745368973,-0.4164689164076471,-0.7636346623376421,-9.900598499252688,-0.008453411114957312,0.008453411114957312,-0.025861594474736946,0.025861594474736946,,,5895692.793617614,0.09579319395164652,48417126606.0734,3515576855.939831,58.72100564371313,2.371840134826459,1.2289274523467002,48417126606.0734,3515576855.939831
Station_6_h2.5,2.5,-29.316805176,-3.320425524,59.521998388,6.741470004,-14.849064756,-6.341540173,20.97901503,9.670565108,88.838803564,16.012105281,574.2730993928187,183.63521968968354,7.2280735236435,2.322407009259373,868843074783894.0,1.9092426718454604e+16,2434558859432794.5,1.99612697932385e+16,4.593586063278414,21.53335755370085,,,-82.52035721672662,1.9412062521560676e+16,549207271677818.44,1912153788824838.5,27804653359764.28,2018901217214.2275,-9.915761357210656,-0.5316627199418675,-9.030403745368973,-0.4164689164076471,-0.7636346623376421,-9.900598499252688,-0.008453411114957312,0.008453411114957312,-0.025861594474736946,0.025861594474736946,,,5895692.793617614,0.09579319395164652,48417126606.0734,3515576855.939831,58.72100564371313,2.371840134826459,1.2289274523467002,48417126606.0734,3515576855.939831
