# Metadata
label,Station_12
r,0.7
r_over_R,0.875
B_r,1.43264229507252
Cx,0.00106
Cy,-0.00452
hs,"[40.0, 10.0, 2.5, 0.625, 0.15625]"
dxf_path,C:\Users\samea\Desktop\geometry_tools\n_sections\blade\Station_12.dxf

# Convergence Results
run_label,mesh_h,area_mm2,perimeter_mm,cx_mm,cy_mm,ixx_c_mm4,iyy_c_mm4,ixy_c_mm4,ip_c_mm4,phi_deg,i1_mm4,i2_mm4,j_mm4,rx_mm,ry_mm,sx_mm3,sy_mm3
Station_12_h40,40.0,,,,,,,,,,,,,,,,
Station_12_h10,10.0,,,,,,,,,,,,,,,,
Station_12_h2.5,2.5,,,,,,,,,,,,,,,,
Station_12_h0.625,0.625,,,,,,,,,,,,,,,,
Station_12_h0.1562,0.15625,,,,,,,,,,,,,,,,
