r/R [-],Cx [mm],Cy [mm],Cz [mm],B [deg],filename
0.125,7.012230765068873,7.254846041485229,0.0,34.1104050834199,sec_000_r0.125.dxf
0.13383838383838384,7.6397201653928155,7.83038420768636,7.070707070706992,33.84228589077463,sec_001_r0.134.dxf
0.14267676767676768,8.121763685721337,7.9699826813712376,14.141414141414065,32.59575888377535,sec_002_r0.143.dxf
0.15151515151515152,8.505991110615811,7.939527159761569,21.212121212121126,31.16340318992896,sec_003_r0.152.dxf
0.16035353535353536,8.845077227228282,7.858044857082399,28.282828282828216,29.754340802458245,sec_004_r0.160.dxf
0.1691919191919192,9.14768116032434,7.751957166072203,35.35353535353528,28.4148843995467,sec_005_r0.169.dxf
0.17803030303030304,9.429077680423553,7.637919233422235,42.42424242424234,27.14498624128843,sec_006_r0.178.dxf
0.18686868686868688,9.671066365772363,7.50789340300249,49.494949494949424,25.95926345716802,sec_007_r0.187.dxf
0.19570707070707072,9.890206742903777,7.363789135475876,56.56565656565648,24.805829341525186,sec_008_r0.196.dxf
0.20454545454545453,10.050266192951288,7.184974842495107,63.63636363636355,23.697295300890676,sec_009_r0.205.dxf
0.2133838383838384,10.176914460327493,6.98928553880042,70.70707070707064,22.616610260004602,sec_010_r0.213.dxf
0.2222222222222222,10.27775004777134,6.787108359560029,77.7777777777777,21.57570863689586,sec_011_r0.222.dxf
0.23106060606060608,10.350580604604707,6.5824400542717125,84.84848484848479,20.590444193397765,sec_012_r0.231.dxf
0.23989898989898992,10.391792355769278,6.375984269290885,91.91919191919185,19.667767572426598,sec_013_r0.240.dxf
0.24873737373737376,10.407337443993553,6.170858002161032,98.98989898989895,18.801287394474574,sec_014_r0.249.dxf
0.25757575757575757,10.403512381341883,5.970337913085195,106.06060606060596,17.98669839428471,sec_015_r0.258.dxf
0.26641414141414144,10.378945727020456,5.7739762958666105,113.13131313131306,17.22406874612794,sec_016_r0.266.dxf
0.2752525252525253,10.341030188150327,5.584033737231936,120.20202020202017,16.50469017730411,sec_017_r0.275.dxf
0.28409090909090906,10.279644665716667,5.397985274747356,127.27272727272718,15.840762393256313,sec_018_r0.284.dxf
0.29292929292929293,10.201723841641899,5.216505905199319,134.34343434343427,15.218453014030414,sec_019_r0.293.dxf
0.3017676767676768,10.112311213024485,5.040114873969844,141.41414141414134,14.628466006933659,sec_020_r0.302.dxf
0.3106060606060606,10.01317930906223,4.869270305663282,148.4848484848484,14.069182170752766,sec_021_r0.311.dxf
0.3194444444444444,9.898947827664822,4.704068979701287,155.55555555555546,13.553656790193658,sec_022_r0.319.dxf
0.3282828282828283,9.77832200373437,4.544220322873575,162.62626262626256,13.061590858200523,sec_023_r0.328.dxf
0.33712121212121215,9.650950773483432,4.389429810534533,169.69696969696963,12.593083000360416,sec_024_r0.337.dxf
0.34595959595959597,9.511486283682117,4.237641905840957,176.76767676767668,12.15052286051177,sec_025_r0.346.dxf
0.35479797979797983,9.366597454166524,4.09088050823342,183.8383838383838,11.729567257525026,sec_026_r0.355.dxf
0.36363636363636365,9.216950668681578,3.9499549905986346,190.90909090909082,11.333884569130737,sec_027_r0.364.dxf
0.3724747474747475,9.064213530041489,3.815552456660443,197.97979797979792,10.964677228594084,sec_028_r0.372.dxf
0.3813131313131313,8.910337321150458,3.6853017736543223,205.05050505050502,10.60608141704992,sec_029_r0.381.dxf
0.39015151515151514,8.762417852035204,3.5635900147567354,212.12121212121204,10.267266457560646,sec_030_r0.390.dxf
0.398989898989899,8.616382992291967,3.4464378827752027,219.19191919191917,9.936918107394492,sec_031_r0.399.dxf
0.4078282828282829,8.473689400538873,3.3349257398390644,226.2626262626262,9.618904370728469,sec_032_r0.408.dxf
0.4166666666666667,8.335300807029753,3.229490150228826,233.33333333333326,9.314895963464977,sec_033_r0.417.dxf
0.42550505050505055,8.198446382474073,3.1275764340469965,240.40404040404036,9.017224217638637,sec_034_r0.426.dxf
0.43434343434343436,8.067023933811768,3.032088651216251,247.47474747474743,8.735508120985328,sec_035_r0.434.dxf
0.4431818181818182,7.937117861790494,2.939680490408093,254.54545454545448,8.459352242961875,sec_036_r0.443.dxf
0.45202020202020204,7.8109933885848,2.851922912737944,261.6161616161616,8.194144047011484,sec_037_r0.452.dxf
0.46085858585858586,7.688385118648192,2.7683822736824975,268.68686868686865,7.938764336698551,sec_038_r0.461.dxf
0.4696969696969697,7.567392799556401,2.6875457760263566,275.7575757575757,7.688571478380669,sec_039_r0.470.dxf
0.4785353535353536,7.451640509367471,2.611776165481651,282.8282828282828,7.451570196990337,sec_040_r0.479.dxf
0.4873737373737374,7.337002736892838,2.538083351552318,289.8989898989899,7.218165879322867,sec_041_r0.487.dxf
0.4962121212121212,7.226424544130179,2.4683317801051703,296.9696969696969,6.994811275251833,sec_042_r0.496.dxf
0.5050505050505051,7.118481591708709,2.401436881517787,304.040404040404,6.77811623038732,sec_043_r0.505.dxf
0.5138888888888888,7.01227772177107,2.336738177644923,311.11111111111103,6.566060971112552,sec_044_r0.514.dxf
0.5227272727272727,6.910633590403135,2.27588351459051,318.18181818181813,6.364468517559821,sec_045_r0.523.dxf
0.5315656565656566,6.809870590691523,2.2165062363380876,325.2525252525252,6.16542720237759,sec_046_r0.532.dxf
0.5404040404040404,6.7131703844272845,2.160444083085827,332.3232323232323,5.975472972024623,sec_047_r0.540.dxf
0.5492424242424243,6.61833363366061,2.1062945655815795,339.3939393939394,5.789918917786707,sec_048_r0.549.dxf
0.5580808080808082,6.52549978596011,2.054081328827603,346.4646464646465,5.609005245349433,sec_049_r0.558.dxf
