station_idx,name,rR,zL,c,beta_deg,dxf_path,x_cp,y_cp,P,A,xmin,xmax,ymin,ymax,n_vertices
48,,0.5492424242424243,0.4848484848484848,0.08290155072412016,5.789918917786707,n_slicer\blade_output\Blade01_N_NACA_63-415_n100_uni_L0p7m_cp33pc_20250820-012829\sections\sec_048_r0.549.dxf,-0.017511945048770627,0.18316530043541412,170.42342325260304,654.1187530495451,-27.261204315188273,55.29543923068901,-5.405766063094525,8.66804394436509,721
49,,0.5580808080808082,0.494949494949495,0.08165706039497002,5.609005245349433,n_slicer\blade_output\Blade01_N_NACA_63-415_n100_uni_L0p7m_cp33pc_20250820-012829\sections\sec_049_r0.558.dxf,-0.01667930694763342,0.1804692493798199,167.86508386997414,634.6273352475656,-26.859042543253924,54.48145211221968,-5.283198202636533,8.49530073700187,721
50,,0.5669191919191919,0.505050505050505,0.0804618919951209,5.435593328974943,n_slicer\blade_output\Blade01_N_NACA_63-415_n100_uni_L0p7m_cp33pc_20250820-012829\sections\sec_050_r0.567.dxf,-0.015896891600934993,0.17787675093277455,165.40813718699297,616.185922759411,-26.472355895819426,53.69873199575176,-5.167548111115986,8.331884714290256,721
51,,0.5757575757575759,0.5151515151515152,0.079282451505935,5.26456037281966,n_slicer\blade_output\Blade01_N_NACA_63-415_n100_uni_L0p7m_cp33pc_20250820-012829\sections\sec_051_r0.576.dxf,-0.015140605488451087,0.17531534409905558,162.9835228832306,598.253754181311,-26.090332906766232,52.925401339530076,-5.055172650431953,8.172961564827292,721
52,,0.5845959595959597,0.5252525252525253,0.07815285871977236,5.101008688949792,n_slicer\blade_output\Blade01_N_NACA_63-415_n100_uni_L0p7m_cp33pc_20250820-012829\sections\sec_052_r0.585.dxf,-0.01443151628814121,0.17285940240490616,160.66138212931492,581.3277148422695,-25.724064679400144,52.18391460275745,-4.949492856616782,8.022830181220199,721
53,,0.5934343434343434,0.5353535353535352,0.07704409694660361,4.940608138391457,n_slicer\blade_output\Blade01_N_NACA_63-415_n100_uni_L0p7m_cp33pc_20250820-012829\sections\sec_053_r0.593.dxf,-0.013749662414365815,0.1704461905039225,158.3820643686151,564.9500215524156,-25.364192255687772,51.45533075423163,-4.847594516944762,7.877452484290924,721
54,,0.6022727272727273,0.5454545454545454,0.07596451464709567,4.784618478519861,n_slicer\blade_output\Blade01_N_NACA_63-415_n100_uni_L0p7m_cp33pc_20250820-012829\sections\sec_054_r0.602.dxf,-0.013099402295424056,0.1680940955610466,156.16273180416974,549.2281978786859,-25.013456331093213,50.745201028900084,-4.7499664369946935,7.7377018189997795,721
55,,0.6111111111111112,0.5555555555555555,0.07491995981000726,4.633915387081816,n_slicer\blade_output\Blade01_N_NACA_63-415_n100_uni_L0p7m_cp33pc_20250820-012829\sections\sec_055_r0.611.dxf,-0.012483181478170735,0.16581611474757252,154.01540633731477,534.2276510703807,-24.67379320425263,50.05744928900331,-4.656849365446705,7.603997266623979,721
56,,0.619949494949495,0.5656565656565656,0.07389030229636862,4.485460855100019,n_slicer\blade_output\Blade01_N_NACA_63-415_n100_uni_L0p7m_cp33pc_20250820-012829\sections\sec_056_r0.620.dxf,-0.01188785054713648,0.1635685826167157,151.89870578443828,519.6443122496621,-24.338689957639026,49.37889218506368,-4.56662191145366,7.473666034470983,721
57,,0.6287878787878788,0.5757575757575757,0.07290001832693474,4.342952599331436,n_slicer\blade_output\Blade01_N_NACA_63-415_n100_uni_L0p7m_cp33pc_20250820-012829\sections\sec_057_r0.629.dxf,-0.011327111106435694,0.16140509533438996,149.86294671130926,505.8090161153167,-24.016136915791062,48.725710977192655,-4.481361378002763,7.349751143036968,721
58,,0.6376262626262627,0.5858585858585859,0.07192551724709285,4.202842104285986,n_slicer\blade_output\Blade01_N_NACA_63-415_n100_uni_L0p7m_cp33pc_20250820-012829\sections\sec_058_r0.638.dxf,-0.010786239221182825,0.15927434314782363,147.85963303937703,492.37645703633723,-23.698482111500645,48.082414471164384,-4.398560301199229,7.229055934481337,721
59,,0.6464646464646465,0.595959595959596,0.07097753304920151,4.066764946463071,n_slicer\blade_output\Blade01_N_NACA_63-415_n100_uni_L0p7m_cp33pc_20250820-012829\sections\sec_059_r0.646.dxf,-0.010270756062684683,0.15719993059925308,145.91083098702882,479.48286607343806,-23.389243799897493,47.45612906020797,-4.319185206461276,7.1128978223314805,721
60,,0.6553030303030303,0.6060606060606061,0.07005256845183676,3.934511024578679,n_slicer\blade_output\Blade01_N_NACA_63-415_n100_uni_L0p7m_cp33pc_20250820-012829\sections\sec_060_r0.655.dxf,-0.009778752389408396,0.15517431880592492,144.00935107871024,467.06725154252786,-23.087298083242434,46.84457867691824,-4.24289600720185,7.000622431650537,721
61,,0.6641414141414143,0.6161616161616162,0.06914071661614536,3.804383568202033,n_slicer\blade_output\Blade01_N_NACA_63-415_n100_uni_L0p7m_cp33pc_20250820-012829\sections\sec_061_r0.664.dxf,-0.009303603756247725,0.15317598935883114,142.13482750248858,454.98705910041156,-22.789435158768953,46.24126652308773,-4.168842491808506,6.890958789175301,721
62,,0.672979797979798,0.6262626262626262,0.0682596566735551,3.678886149127901,n_slicer\blade_output\Blade01_N_NACA_63-415_n100_uni_L0p7m_cp33pc_20250820-012829\sections\sec_062_r0.673.dxf,-0.008853793589260306,0.1512438238245588,140.32360382578494,443.4651442719537,-22.50144936629614,45.65793115705804,-4.098274876743101,6.786063012843633,721
63,,0.6818181818181819,0.6363636363636364,0.06739152450504483,3.5553263202963583,n_slicer\blade_output\Blade01_N_NACA_63-415_n100_uni_L0p7m_cp33pc_20250820-012829\sections\sec_063_r0.682.dxf,-0.008419157139293532,0.14933879527375793,138.53895619614562,432.25681914287907,-22.217522126442976,45.082789901750004,-4.029690189201982,6.683524602362573,721
64,,0.6906565656565657,0.6464646464646465,0.06654727293928665,3.4353443092093925,n_slicer\blade_output\Blade01_N_NACA_63-415_n100_uni_L0p7m_cp33pc_20250820-012829\sections\sec_064_r0.691.dxf,-0.008004857775397056,0.1474850302977837,136.80340070090904,421.49440842848446,-21.941248756057767,44.52312669328274,-3.963728935743356,6.584627696971675,721
