filename,material_name,elastic_modulus,poissons_ratio,yield_strength,density,color
sec_057_r0.629.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_058_r0.638.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_059_r0.646.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_060_r0.655.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_061_r0.664.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_062_r0.673.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_063_r0.682.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_064_r0.691.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_065_r0.699.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_066_r0.708.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_067_r0.717.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_068_r0.726.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_069_r0.735.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_070_r0.744.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_071_r0.753.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_072_r0.761.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_073_r0.770.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_074_r0.779.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_075_r0.788.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_076_r0.797.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_077_r0.806.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_078_r0.814.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_079_r0.823.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_080_r0.832.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_081_r0.841.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_082_r0.850.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_083_r0.859.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_084_r0.867.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_085_r0.876.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_086_r0.885.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_087_r0.894.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_088_r0.903.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_089_r0.912.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_090_r0.920.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_091_r0.929.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_092_r0.938.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_093_r0.947.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_094_r0.956.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_095_r0.965.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_096_r0.973.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_097_r0.982.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_098_r0.991.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_099_r1.000.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
