2025-07-31 13:43:08,355 | INFO     | RawGeometry.Station_8 | Logger initialized for RawGeometry Station_8
2025-07-31 13:43:08,360 | INFO     | RawGeometry.Station_8 | Reading DXF file: C:\Users\Sam Hughes\Desktop\geometry_tools\n_sections\blade\Station_8.dxf
2025-07-31 13:43:08,375 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,375 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,375 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,375 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,375 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,375 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,375 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,375 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,375 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,375 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,375 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,379 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,379 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,379 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,379 | DEBUG    | RawGeometry.Station_8 | Parsed ARC entity with 100 points
2025-07-31 13:43:08,380 | DEBUG    | RawGeometry.Station_8 | Parsed ARC entity with 100 points
2025-07-31 13:43:08,380 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,380 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,380 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,380 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,380 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,381 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,381 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,381 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,381 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,381 | DEBUG    | RawGeometry.Station_8 | Parsed ARC entity with 100 points
2025-07-31 13:43:08,381 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,381 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,382 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,382 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,382 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,382 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,382 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,382 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,382 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,384 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,384 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,384 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,384 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,384 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,384 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,384 | DEBUG    | RawGeometry.Station_8 | Parsed LINE entity with 50 points
2025-07-31 13:43:08,385 | DEBUG    | RawGeometry.Station_8 | Parsed ARC entity with 100 points
2025-07-31 13:43:08,385 | INFO     | RawGeometry.Station_8 | Extraction complete: 43 entities, 2350 total points.
