2025-07-30 14:23:12,291 | INFO     | RawGeometry.Station_10 | Logger initialized for RawGeometry Station_10
2025-07-30 14:23:12,292 | INFO     | RawGeometry.Station_10 | Reading DXF file: C:\Users\Sam Hughes\Desktop\geometry_tools\n_sections\blade\Station_10.dxf
2025-07-30 14:23:12,311 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,311 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,311 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,311 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,312 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,312 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,312 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,312 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,313 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,313 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,313 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,313 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,313 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,314 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,314 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,314 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,314 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,314 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,314 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,315 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,315 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,315 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,315 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,315 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,316 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,316 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,316 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,316 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,316 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,316 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,317 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,317 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,317 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,317 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,317 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,319 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,319 | DEBUG    | RawGeometry.Station_10 | Parsed ARC entity with 100 points
2025-07-30 14:23:12,319 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,319 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,320 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,320 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,320 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,320 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,320 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,321 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,321 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,321 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,321 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,322 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,322 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,322 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,322 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,323 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,323 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,323 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,323 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
2025-07-30 14:23:12,323 | DEBUG    | RawGeometry.Station_10 | Parsed LINE entity with 50 points
