# Metadata
label,sec_000_r0.125
r,0.0
r_over_R,0.125
B_r,34.1104050834199
Cx,0.006713722240546818
Cy,0.007051297835188717
hs,[40.0]
dxf_path,C:\Users\samea\Desktop\geometry_tools\n_sections\blade\sec_000_r0.125.dxf
material_name,Al_7075_T6

# Convergence Results
run_label,mesh_h,x_min_mm,x_max_mm,y_min_mm,y_max_mm,bbox_width_mm,bbox_height_mm,c_x_g_mm,c_y_g_mm,ixx_g_mm4,iyy_g_mm4,ixy_g_mm4,ip_g_mm4,rx_g_mm,ry_g_mm,sx_g_mm3,sy_g_mm3,principal_angle_g_deg,i11_g_mm4,i22_g_mm4,area_mm2,perimeter_mm,cx_mm,cy_mm,ixx_c_mm4,iyy_c_mm4,ixy_c_mm4,ip_c_mm4,rx_c_mm,ry_c_mm,sx_c_mm3,sy_c_mm3,principal_angle_deg,i11_c_mm4,i22_c_mm4,rx_mm,ry_mm,sx_mm3,sy_mm3,i1_mm4,i2_mm4,xmin_touch_x_mm,xmin_touch_y_mm,xmax_touch_x_mm,xmax_touch_y_mm,ymin_touch_x_mm,ymin_touch_y_mm,ymax_touch_x_mm,ymax_touch_y_mm,j_mm4,asx_mm2,asy_mm2,scx_global_mm,scy_global_mm,scx_from_centroid_mm,scy_from_centroid_mm,scx_norm_origin,scy_norm_origin,scx_norm_centroid,scy_norm_centroid,sc1_mm,sc2_mm,beta_x_plus,beta_x_minus,beta_y_plus,beta_y_minus,shape_factor_x_c,shape_factor_y_c,shape_factor_x_g,shape_factor_y_g,polar_r_c_mm,polar_r_g_mm,j_over_ip_c,j_over_ip_g,asx_over_a,asy_over_a,compactness,vx,vy
sec_000_r0.125_h40,40.0,-33.679206519772,66.789722471547,-23.221542874088,45.255551199922,100.46892899131899,68.47709407401001,45.255551199922,66.789722471547,2.3827620605194704e+16,4.815720042168095e+16,3.1929643401014416e+16,7.1984821026875656e+16,4155000.654919896,5906923.877947831,526512659185902.7,721027107758927.1,55.428103590779656,7.016087903673628e+16,1823941990139376.0,1380.1887505188668,247.53025354519448,6.720699091344335,7.056282064961709,2.3827620605125984e+16,4.815720042161861e+16,3.1929643400948964e+16,7.198482102674459e+16,15.517134292690505,22.05981146172806,623771636073496.0,801697742225822.4,-55.4281035908017,7.016087903661072e+16,1823941990133868.0,15.517134292690505,22.05981146172806,623771636073496.0,801697742225822.4,7.016087903661072e+16,1823941990133868.0,-33.679206519772,-21.469619216324,66.789722471547,44.633496912164,-30.653981451361,-23.221542874088,66.368395285399,45.255551199922,6956275114807600.0,60175721258878.14,45510899004311.04,-6.192210993801599,-3.401812062394413,-12.912910085145935,-10.458094127356123,0.09271203359827607,0.07516894551491565,0.19333678307537433,0.23108975252905875,-0.712605373126201,-7.029082150736409,-17.58137102736199,17.58137102736199,-21.41890786476529,21.41890786476529,0.0088905903779798,0.4395412499752702,0.022096736720372184,0.01497236345645857,7221895.882810831,7221895.882817406,0.09663530471546394,0.096635304715288,43599631743.30739,32974402223.755062,44.393367499274305,43599631743.30739,32974402223.755062
