2025-08-18 17:51:37,147 | INFO     | RawGeometry.Station_2 | Logger initialized for RawGeometry Station_2
2025-08-18 17:51:37,151 | INFO     | RawGeometry.Station_2 | Reading DXF file: \\mull.sms.ed.ac.uk\home\s1834431\Win7\Desktop\geometry_tools\n_sections\blade\Station_2.dxf
2025-08-18 17:51:37,191 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,193 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,194 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,196 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,197 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,200 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,202 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,203 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,205 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,206 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,207 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,209 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,210 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,212 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,214 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,216 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,217 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,219 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,221 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,222 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,224 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,225 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,226 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,228 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,229 | DEBUG    | RawGeometry.Station_2 | Parsed ARC entity with 100 points
2025-08-18 17:51:37,231 | DEBUG    | RawGeometry.Station_2 | Parsed ARC entity with 100 points
2025-08-18 17:51:37,233 | DEBUG    | RawGeometry.Station_2 | Parsed ARC entity with 100 points
2025-08-18 17:51:37,234 | DEBUG    | RawGeometry.Station_2 | Parsed ARC entity with 100 points
2025-08-18 17:51:37,235 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,237 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,238 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,240 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,241 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,243 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,245 | DEBUG    | RawGeometry.Station_2 | Parsed ARC entity with 100 points
2025-08-18 17:51:37,247 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,250 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,252 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,255 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,256 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,257 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,259 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,262 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,263 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,265 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,266 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,268 | DEBUG    | RawGeometry.Station_2 | Parsed ARC entity with 100 points
2025-08-18 17:51:37,269 | DEBUG    | RawGeometry.Station_2 | Parsed ARC entity with 100 points
2025-08-18 17:51:37,271 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,273 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,274 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,277 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
2025-08-18 17:51:37,279 | DEBUG    | RawGeometry.Station_2 | Parsed LINE entity with 50 points
