# NACA 63-415 Thickened Trailing edge 0.00625,
x,y
1,0.003125
0.999981,0.003131818
0.999924,0.00315027
0.999829,0.003176359
0.999695,0.003212072
0.999524,0.003254432
0.999315,0.003304427
0.999067,0.003361049
0.998782,0.003424317
0.998459,0.003493223
0.998097,0.003569757
0.997698,0.003651938
0.997261,0.003739759
0.996786,0.00383422
0.996273,0.003933321
0.995722,0.004039064
0.995134,0.004150458
0.994508,0.004267496
0.993844,0.004391178
0.993143,0.004519515
0.992404,0.004654499
0.991627,0.004794131
0.990814,0.004940431
0.989962,0.005092372
0.989074,0.005249984
0.988148,0.005413249
0.987185,0.005582179
0.986185,0.005756775
0.985148,0.005938038
0.984074,0.006125971
0.982963,0.006318575
0.981815,0.006517851
0.980631,0.006722812
0.97941,0.006934449
0.978152,0.007150766
0.976858,0.007373772
0.975528,0.00760447
0.974162,0.007839862
0.972759,0.008081942
0.971321,0.008329729
0.969846,0.008584208
0.968336,0.008845399
0.96679,0.009113296
0.965209,0.00938791
0.963592,0.009668235
0.96194,0.009954282
0.960252,0.010248045
0.95853,0.010548544
0.956773,0.010855773
0.954981,0.011169734
0.953154,0.011490432
0.951293,0.011818876
0.949397,0.012154062
0.947467,0.012497
0.945503,0.012846695
0.943505,0.013201148
0.941474,0.013562372
0.939409,0.01393236
0.93731,0.014311117
0.935178,0.014695653
0.933013,0.015086972
0.930815,0.015485076
0.928584,0.01589297
0.92632,0.016305657
0.924024,0.016725148
0.921696,0.017152446
0.919335,0.017588546
0.916943,0.018032469
0.914519,0.01848321
0.912063,0.018940771
0.909576,0.019407165
0.907058,0.019878396
0.904508,0.020356457
0.901928,0.02084237
0.899318,0.021336138
0.896677,0.021835755
0.894005,0.022342226
0.891304,0.022855571
0.888573,0.023377785
0.885812,0.023905871
0.883022,0.024439841
0.880203,0.024979698
0.877355,0.025527447
0.874478,0.026083091
0.871572,0.026645633
0.868639,0.027214093
0.865677,0.027789459
0.862687,0.028371742
0.85967,0.028957953
0.856625,0.029549089
0.853553,0.030148161
0.850455,0.03075518
0.847329,0.031368135
0.844177,0.031984044
0.840999,0.032606911
0.837795,0.033235739
0.834565,0.033871532
0.83131,0.034512302
0.82803,0.035158051
0.824724,0.035808776
0.821394,0.036465496
0.818039,0.037128206
0.81466,0.037794917
0.811257,0.038465633
0.807831,0.039140364
0.804381,0.039820107
0.800908,0.040506872
0.797411,0.041197657
0.793893,0.041893484
0.790352,0.042590343
0.786788,0.043289239
0.783203,0.043993188
0.779597,0.044703194
0.775968,0.045416246
0.77232,0.046130374
0.76865,0.046844561
0.76496,0.047561825
0.761249,0.048283162
0.757519,0.049007588
0.753769,0.049732099
0.75,0.050458705
0.746212,0.05118941
0.742405,0.051919216
0.738579,0.052647126
0.734736,0.053378156
0.730874,0.054111296
0.726995,0.054847562
0.723099,0.055580956
0.719186,0.056312481
0.715256,0.057044139
0.711309,0.057778935
0.707347,0.058512881
0.703368,0.05924197
0.699375,0.05996922
0.695366,0.060699624
0.691342,0.061429188
0.687303,0.062153917
0.683251,0.062875822
0.679184,0.063595896
0.675104,0.064315152
0.67101,0.065032587
0.666903,0.065746208
0.662784,0.066456022
0.658652,0.067162027
0.654509,0.067864234
0.650353,0.068562636
0.646186,0.069259246
0.642008,0.069953063
0.637819,0.070639091
0.633619,0.071319332
0.62941,0.071994796
0.62519,0.072666476
0.620961,0.073332383
0.616723,0.073991518
0.612476,0.074642882
0.60822,0.075288479
0.603956,0.075929312
0.599684,0.076565384
0.595405,0.0771937
0.591118,0.077813257
0.586824,0.078423061
0.582524,0.079026116
0.578217,0.07962542
0.573905,0.080218981
0.569587,0.080798796
0.565263,0.081370868
0.560935,0.081936202
0.556602,0.082492798
0.552264,0.083039655
0.547923,0.083579782
0.543578,0.084112174
0.53923,0.084633837
0.534878,0.085144768
0.530524,0.085645972
0.526168,0.086138451
0.52181,0.086619204
0.51745,0.087089233
0.513089,0.08754954
0.508726,0.088003122
0.504363,0.088443985
0.5,0.088872129
0.495637,0.089288553
0.491274,0.089694259
0.486912,0.090088247
0.48255,0.090471515
0.47819,0.090843068
0.473832,0.091200905
0.469476,0.091546026
0.465122,0.09187943
0.46077,0.092200117
0.456422,0.092506089
0.452077,0.092799345
0.447736,0.093081885
0.443398,0.093348707
0.439065,0.093601814
0.434737,0.093844203
0.430413,0.094072874
0.426095,0.094285827
0.421783,0.094485061
0.417476,0.094668575
0.413176,0.094838369
0.408882,0.094992441
0.404596,0.095131792
0.400316,0.095259418
0.396044,0.095373319
0.39178,0.095469495
0.387524,0.095548943
0.383277,0.095614664
0.379039,0.095665654
0.37481,0.095700912
0.370591,0.095720437
0.366381,0.095726228
0.362181,0.095720281
0.357992,0.095698596
0.353814,0.095659171
0.349647,0.095604003
0.345492,0.095534
0.341348,0.095449
0.337216,0.09535
0.333097,0.095238
0.32899,0.095109
0.324896,0.094963
0.320816,0.094805
0.316749,0.094633
0.312697,0.094446
0.308658,0.094244
0.304634,0.094027
0.300626,0.093797
0.296632,0.093555
0.292653,0.093296
0.288691,0.093026
0.284745,0.092747
0.280814,0.092453
0.276901,0.092144
0.273005,0.091823
0.269126,0.091491
0.265264,0.091146
0.261421,0.090789
0.257595,0.09042
0.253788,0.090042
0.25,0.089653
0.246231,0.089252
0.242481,0.08884
0.238751,0.088419
0.23504,0.087989
0.23135,0.087548
0.227681,0.087096
0.224032,0.086632
0.220404,0.086157
0.216797,0.085674
0.213212,0.085184
0.209649,0.084683
0.206107,0.084171
0.202589,0.083647
0.199093,0.083114
0.195619,0.082573
0.192169,0.082024
0.188743,0.081466
0.18534,0.080896
0.181961,0.080318
0.178606,0.079735
0.175276,0.079142
0.17197,0.078539
0.16869,0.077928
0.165435,0.077309
0.162205,0.076683
0.159001,0.076047
0.155823,0.075403
0.152671,0.074751
0.149545,0.074095
0.146447,0.073434
0.143375,0.072765
0.14033,0.072086
0.137313,0.071401
0.134323,0.070712
0.131361,0.070015
0.128428,0.069312
0.125522,0.068604
0.122645,0.067891
0.119797,0.06717
0.116978,0.066444
0.114188,0.065714
0.111427,0.064979
0.108696,0.064239
0.105995,0.063493
0.103323,0.062742
0.100682,0.061986
0.098072,0.061227
0.095491,0.060463
0.092942,0.059694
0.090424,0.058919
0.087937,0.058142
0.085481,0.057363
0.083057,0.05658
0.080665,0.055792
0.078304,0.054998
0.075976,0.054203
0.07368,0.053406
0.071416,0.052605
0.069185,0.0518
0.066987,0.050993
0.064822,0.050182
0.06269,0.049368
0.060591,0.048552
0.058526,0.047732
0.056495,0.046911
0.054497,0.046085
0.052533,0.045258
0.050603,0.044429
0.048707,0.043597
0.046846,0.042762
0.045019,0.041925
0.043227,0.041089
0.04147,0.040252
0.039748,0.039414
0.03806,0.038576
0.036408,0.037737
0.034791,0.036899
0.03321,0.036064
0.031664,0.035232
0.030154,0.034401
0.028679,0.033572
0.027241,0.032745
0.025838,0.031922
0.024472,0.031104
0.023142,0.030289
0.021848,0.029477
0.02059,0.028668
0.019369,0.027864
0.018185,0.027065
0.017037,0.026268
0.015926,0.025476
0.014852,0.024685
0.013815,0.023899
0.012815,0.023114
0.011852,0.022332
0.010926,0.021553
0.010038,0.020776
0.009186,0.020003
0.008373,0.019231
0.007596,0.018462
0.006857,0.017695
0.006156,0.016933
0.005492,0.016174
0.004866,0.015419
0.004278,0.014672
0.003727,0.01393
0.003214,0.013195
0.002739,0.012469
0.002302,0.011756
0.001903,0.011056
0.001541,0.010371
0.001218,0.009706
0.000933,0.009065
0.000685,0.008458
0.000476,0.007892
0.000305,0.007383
0.000171,0.006947
7.60E-05,0.006608
1.90E-05,0.006391
0,0
1.90E-05,-5.10E-05
7.60E-05,-0.000203
0.000171,-0.000452
0.000305,-0.000815
0.000476,-0.001313
0.000685,-0.001894
0.000933,-0.002527
0.001218,-0.003199
0.001541,-0.003889
0.001903,-0.004588
0.002302,-0.005291
0.002739,-0.005994
0.003214,-0.006693
0.003727,-0.007386
0.004278,-0.008073
0.004866,-0.008753
0.005492,-0.009424
0.006156,-0.010087
0.006857,-0.010741
0.007596,-0.011388
0.008373,-0.012027
0.009186,-0.012656
0.010038,-0.013278
0.010926,-0.013892
0.011852,-0.014499
0.012815,-0.015098
0.013815,-0.015688
0.014852,-0.016272
0.015926,-0.016848
0.017037,-0.01742
0.018185,-0.017985
0.019369,-0.018545
0.02059,-0.0191
0.021848,-0.019652
0.023142,-0.0202
0.024472,-0.020745
0.025838,-0.021287
0.027241,-0.021829
0.028679,-0.02237
0.030154,-0.022909
0.031664,-0.023446
0.03321,-0.023983
0.034791,-0.02452
0.036408,-0.025056
0.03806,-0.025589
0.039748,-0.02612
0.04147,-0.02665
0.043227,-0.027179
0.045019,-0.027707
0.046846,-0.028231
0.048707,-0.028751
0.050603,-0.029267
0.052533,-0.029781
0.054497,-0.030293
0.056495,-0.030799
0.058526,-0.031301
0.060591,-0.031798
0.06269,-0.032291
0.064822,-0.03278
0.066987,-0.033264
0.069185,-0.033744
0.071416,-0.03422
0.07368,-0.034691
0.075976,-0.035158
0.078304,-0.035621
0.080665,-0.036079
0.083057,-0.036534
0.085481,-0.036985
0.087937,-0.037433
