# NACA 63-415 Standard profile with sharp trailing edge,
# x [-], y [-]
0.840999,-0.002673
0.844177,-0.002372
0.847329,-0.002078
0.850455,-0.001791
0.853553,-0.001513
0.856625,-0.001246
0.85967,-0.000985
0.862687,-0.000731
0.865677,-0.000484
0.868639,-0.000246
0.871572,-1.60E-05
0.874478,0.000207
0.877355,0.00042
0.880203,0.000625
0.883022,0.000821
0.885812,0.001011
0.888573,0.001193
0.891304,0.001367
0.894005,0.001532
0.896677,0.001689
0.899318,0.001839
0.901928,0.001982
0.904508,0.002117
0.907058,0.002243
0.909576,0.002363
0.912063,0.002477
0.914519,0.002582
0.916943,0.002679
0.919335,0.00277
0.921696,0.002853
0.924024,0.002927
0.92632,0.002994
0.928584,0.003055
0.930815,0.00311
0.933013,0.003157
0.935178,0.003197
0.93731,0.003232
0.939409,0.003261
0.941474,0.003282
0.943505,0.003295
0.945503,0.003304
0.947467,0.003308
0.949397,0.003307
0.951293,0.0033
0.953154,0.003287
0.954981,0.003268
0.956773,0.003245
0.95853,0.003216
0.960252,0.003183
0.96194,0.003144
0.963592,0.003101
0.965209,0.003055
0.96679,0.003005
0.968336,0.00295
0.969846,0.002892
0.971321,0.002829
0.972759,0.002764
0.974162,0.002696
0.975528,0.002625
0.976858,0.002551
0.978152,0.002474
0.97941,0.002395
0.980631,0.002313
0.981815,0.00223
0.982963,0.002145
0.984074,0.002059
0.985148,0.001971
0.986185,0.001882
0.987185,0.001791
0.988148,0.001699
0.989074,0.001608
0.989962,0.001516
0.990814,0.001424
0.991627,0.001333
0.992404,0.001242
0.993143,0.001151
0.993844,0.001062
0.994508,0.000974
0.995134,0.000887
0.995722,0.000803
0.996273,0.00072
0.996786,0.00064
0.997261,0.000562
0.997698,0.000488
0.998097,0.000417
0.998459,0.00035
0.998782,0.000287
0.999067,0.000229
0.999315,0.000176
0.999524,0.000128
0.999695,8.70E-05
0.999829,5.20E-05
0.999924,2.50E-05
0.999981,7.00E-06
1,0
