2025-08-12 00:36:29,886 | INFO     | RawGeometry.Station_6 | Logger initialized for RawGeometry Station_6
2025-08-12 00:36:29,887 | INFO     | RawGeometry.Station_6 | Reading DXF file: C:\Users\samea\Desktop\geometry_tools\n_sections\blade\Station_6.dxf
2025-08-12 00:36:29,918 | DEBUG    | RawGeometry.Station_6 | Parsed LINE entity with 50 points
2025-08-12 00:36:29,918 | DEBUG    | RawGeometry.Station_6 | Parsed LINE entity with 50 points
2025-08-12 00:36:29,919 | DEBUG    | RawGeometry.Station_6 | Parsed LINE entity with 50 points
2025-08-12 00:36:29,919 | DEBUG    | RawGeometry.Station_6 | Parsed LINE entity with 50 points
2025-08-12 00:36:29,919 | DEBUG    | RawGeometry.Station_6 | Parsed LINE entity with 50 points
2025-08-12 00:36:29,920 | DEBUG    | RawGeometry.Station_6 | Parsed LINE entity with 50 points
2025-08-12 00:36:29,920 | DEBUG    | RawGeometry.Station_6 | Parsed LINE entity with 50 points
2025-08-12 00:36:29,920 | DEBUG    | RawGeometry.Station_6 | Parsed LINE entity with 50 points
2025-08-12 00:36:29,920 | DEBUG    | RawGeometry.Station_6 | Parsed LINE entity with 50 points
2025-08-12 00:36:29,921 | DEBUG    | RawGeometry.Station_6 | Parsed LINE entity with 50 points
2025-08-12 00:36:29,921 | DEBUG    | RawGeometry.Station_6 | Parsed LINE entity with 50 points
2025-08-12 00:36:29,921 | DEBUG    | RawGeometry.Station_6 | Parsed LINE entity with 50 points
2025-08-12 00:36:29,921 | DEBUG    | RawGeometry.Station_6 | Parsed LINE entity with 50 points
2025-08-12 00:36:29,922 | DEBUG    | RawGeometry.Station_6 | Parsed LINE entity with 50 points
2025-08-12 00:36:29,922 | DEBUG    | RawGeometry.Station_6 | Parsed LINE entity with 50 points
2025-08-12 00:36:29,922 | DEBUG    | RawGeometry.Station_6 | Parsed LINE entity with 50 points
2025-08-12 00:36:29,922 | DEBUG    | RawGeometry.Station_6 | Parsed LINE entity with 50 points
2025-08-12 00:36:29,923 | DEBUG    | RawGeometry.Station_6 | Parsed LINE entity with 50 points
2025-08-12 00:36:29,923 | DEBUG    | RawGeometry.Station_6 | Parsed LINE entity with 50 points
2025-08-12 00:36:29,923 | DEBUG    | RawGeometry.Station_6 | Parsed LINE entity with 50 points
