b0,b1,b2,b3,b4,b5,Equation
40.02354205,-281.3456305,1042.128667,-2173.212427,2296.481245,-946.9326925,1042.0*x^2 - 281.3*x - 2173.0*x^3 + 2296.0*x^4 - 946.9*x^5 + 40.02
12.37750423,-11.08523773,-75.54945644,182.5021467,-160.5569562,52.34490986,182.5*x^3 - 75.55*x^2 - 11.09*x - 160.6*x^4 + 52.34*x^5 + 12.38
20.05549595,-53.31680778,18.80028306,66.2760561,-75.85569328,23.43213644,18.8*x^2 - 53.32*x + 66.28*x^3 - 75.86*x^4 + 23.43*x^5 + 20.06
8.168279542,-3.34927094,-0.083521609,-98.70928024,180.3878888,-87.88330979,180.4*x^4 - 0.08352*x^2 - 98.71*x^3 - 3.349*x - 87.88*x^5 + 8.168
23.93377036,-48.37174838,-110.4529705,452.4371959,-526.5756171,212.1581338,452.4*x^3 - 110.5*x^2 - 48.37*x - 526.6*x^4 + 212.2*x^5 + 23.93
12.76501589,-15.57473354,-49.69446343,112.693801,-75.53566942,14.37347778,112.7*x^3 - 49.69*x^2 - 15.57*x - 75.54*x^4 + 14.37*x^5 + 12.77
6.652396999,-2.584754306,-24.22518528,33.65780284,-21.80159033,7.92428605,33.66*x^3 - 24.23*x^2 - 2.585*x - 21.8*x^4 + 7.924*x^5 + 6.652
14.19580628,-16.61896608,-68.1664683,162.9989162,-124.6355293,31.4139022,163.0*x^3 - 68.17*x^2 - 16.62*x - 124.6*x^4 + 31.41*x^5 + 14.2
22.04930338,-53.35917023,-14.03427727,148.7102669,-152.1228245,48.09787156,148.7*x^3 - 14.03*x^2 - 53.36*x - 152.1*x^4 + 48.1*x^5 + 22.05
13.91658542,-27.78301865,-33.6189052,162.444041,-196.6104235,82.99910928,162.4*x^3 - 33.62*x^2 - 27.78*x - 196.6*x^4 + 83.0*x^5 + 13.92
20.44036159,-66.26158345,96.00108008,-118.7701459,123.050487,-56.47817842,96.0*x^2 - 66.26*x - 118.8*x^3 + 123.1*x^4 - 56.48*x^5 + 20.44
10.97586971,-5.641319995,-57.88590042,80.73487611,-12.36589987,-17.46790046,80.73*x^3 - 57.89*x^2 - 5.641*x - 12.37*x^4 - 17.47*x^5 + 10.98
30.8949323,-131.1422078,228.9557686,-194.2539227,62.95504587,3.579397184,229.0*x^2 - 131.1*x - 194.3*x^3 + 62.96*x^4 + 3.579*x^5 + 30.89
28.61909226,-88.97485878,26.79542888,224.3071898,-339.4754207,151.5055402,26.8*x^2 - 88.97*x + 224.3*x^3 - 339.5*x^4 + 151.5*x^5 + 28.62
9.253121575,-10.27491529,-25.32567753,53.04445066,-39.18006651,12.36458959,53.04*x^3 - 25.33*x^2 - 10.27*x - 39.18*x^4 + 12.36*x^5 + 9.253
17.7923564,-54.55324272,53.36736986,3.64555747,-45.35958238,25.66360258,53.37*x^2 - 54.55*x + 3.646*x^3 - 45.36*x^4 + 25.66*x^5 + 17.79
15.99949621,-56.22059237,106.3312442,-154.0146256,138.4796219,-51.78929546,106.3*x^2 - 56.22*x - 154.0*x^3 + 138.5*x^4 - 51.79*x^5 + 16.0
11.34542967,-4.553058663,-78.68987309,146.2908188,-92.68220664,17.37458306,146.3*x^3 - 78.69*x^2 - 4.553*x - 92.68*x^4 + 17.37*x^5 + 11.35
10.43467751,1.319364374,-81.77338277,110.4416685,-21.19561721,-21.58342555,1.319*x - 81.77*x^2 + 110.4*x^3 - 21.2*x^4 - 21.58*x^5 + 10.43
21.65198642,-68.57534176,60.45226403,31.37211676,-86.11529084,41.90514293,60.45*x^2 - 68.58*x + 31.37*x^3 - 86.12*x^4 + 41.91*x^5 + 21.65
11.37551743,-19.4080088,0.570572823,-7.976190346,36.68447577,-21.88789314,0.5706*x^2 - 19.41*x - 7.976*x^3 + 36.68*x^4 - 21.89*x^5 + 11.38
30.2122762,-160.0613173,422.8016656,-664.3806048,570.940011,-202.9795018,422.8*x^2 - 160.1*x - 664.4*x^3 + 570.9*x^4 - 203.0*x^5 + 30.21
15.28106201,-16.26872192,-100.9067577,268.0611941,-251.2383268,85.33106248,268.1*x^3 - 100.9*x^2 - 16.27*x - 251.2*x^4 + 85.33*x^5 + 15.28
27.60498325,-88.40104778,46.9273972,162.3401102,-271.1370164,125.2935454,46.93*x^2 - 88.4*x + 162.3*x^3 - 271.1*x^4 + 125.3*x^5 + 27.6
12.52673559,-14.47178947,-56.84642949,138.0156837,-111.6505434,31.98150311,138.0*x^3 - 56.85*x^2 - 14.47*x - 111.7*x^4 + 31.98*x^5 + 12.53
10.62659995,-7.682818318,-43.37569697,55.73035113,1.932215352,-18.53870403,55.73*x^3 - 43.38*x^2 - 7.683*x + 1.932*x^4 - 18.54*x^5 + 10.63
12.55730642,-4.272138862,-105.2613802,219.5440404,-168.571546,45.29032538,219.5*x^3 - 105.3*x^2 - 4.272*x - 168.6*x^4 + 45.29*x^5 + 12.56
15.62757623,-19.64284716,-94.47849346,274.5206949,-276.6860259,101.7232209,274.5*x^3 - 94.48*x^2 - 19.64*x - 276.7*x^4 + 101.7*x^5 + 15.63
12.81355488,-22.19738517,-9.457076518,24.3207001,7.222985075,-13.53165902,24.32*x^3 - 9.457*x^2 - 22.2*x + 7.223*x^4 - 13.53*x^5 + 12.81
10.85255941,-7.997826822,-59.5335956,120.0197352,-83.57147975,19.54231269,120.0*x^3 - 59.53*x^2 - 7.998*x - 83.57*x^4 + 19.54*x^5 + 10.85
12.13226499,-6.288689258,-116.5909335,306.6236557,-314.1966514,119.7082999,306.6*x^3 - 116.6*x^2 - 6.289*x - 314.2*x^4 + 119.7*x^5 + 12.13
11.73852696,-0.74700993,-72.31747698,54.45800829,76.22439382,-73.35804676,54.46*x^3 - 72.32*x^2 - 0.747*x + 76.22*x^4 - 73.36*x^5 + 11.74
14.0119524,-30.84640213,-6.418818301,80.33420837,-95.09515561,38.41930386,80.33*x^3 - 6.419*x^2 - 30.85*x - 95.1*x^4 + 38.42*x^5 + 14.01
15.98318696,-37.68853429,-2.386355731,87.92300638,-103.7903988,40.23476561,87.92*x^3 - 2.386*x^2 - 37.69*x - 103.8*x^4 + 40.23*x^5 + 15.98
